support_f1,coef_error,practical_score,threshold,status,setting,system,system_label,method,method_label,q,pod_rank,sparse_factor,noise,seed
1.0,0.02558022701408249,0.9750578001210516,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,5,0,16,0.03,0
1.0,0.007600201184334537,0.9924571261742492,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,5,0,16,0.03,1
1.0,0.01809818303623376,0.982223538615637,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,5,0,16,0.03,2
1.0,0.016301836474710615,0.9839596506769511,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,5,0,16,0.03,3
1.0,0.013394877100014257,0.9867821740540609,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,5,0,16,0.03,4
1.0,0.010209935183032554,0.9898932540381494,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,7,0,16,0.03,0
1.0,0.015009558104154884,0.9852123972781203,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,7,0,16,0.03,1
1.0,0.01695520242697329,0.9833274834658307,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,7,0,16,0.03,2
1.0,0.0078022086294722535,0.9922581945518034,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,7,0,16,0.03,3
1.0,0.030584753908122108,0.9703229125094851,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,7,0,16,0.03,4
0.6666666666666666,0.30534790980854953,0.5107195266926532,0.1,ok,PDE,burgers,Burgers,baseline,Baseline,1,0,8,0.03,0
0.6666666666666666,0.2970808092978148,0.5139746590095432,0.1,ok,PDE,burgers,Burgers,baseline,Baseline,1,0,8,0.03,1
0.6666666666666666,0.2959750148628746,0.5144132093759584,0.1,ok,PDE,burgers,Burgers,baseline,Baseline,1,0,8,0.03,2
0.6666666666666666,0.29208272387570655,0.5159628360844777,0.1,ok,PDE,burgers,Burgers,baseline,Baseline,1,0,8,0.03,3
0.6666666666666666,0.3025585829066354,0.5118131924469856,0.1,ok,PDE,burgers,Burgers,baseline,Baseline,1,0,8,0.03,4
0.6666666666666666,0.5574111984935955,0.4280607891554262,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,0
0.6666666666666666,0.5588619086426224,0.4276624266527662,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,1
0.6666666666666666,0.5528062661363341,0.42933022696093,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,2
0.6666666666666666,0.5532383960405544,0.4292107820448576,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,3
0.6666666666666666,0.5553803933944905,0.4286196929689471,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,4
0.6666666666666666,0.281772090950605,0.5201132645759546,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,0
0.6666666666666666,0.29032647000340456,0.5166651093074976,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,1
0.6666666666666666,0.28495453391863496,0.5188251016427643,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,2
0.6666666666666666,0.2865143931197654,0.5181960421367822,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,3
0.6666666666666666,0.2867005014041809,0.5181210902918985,0.05,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,4
0.6666666666666666,0.1954039652215975,0.5576915302795432,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,0
0.6666666666666666,0.19470252084871215,0.5580189670923847,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,1
0.6666666666666666,0.18586224487618933,0.5621788445893818,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,2
0.6666666666666666,0.20498333866137344,0.5532579955896091,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,3
0.6666666666666666,0.187981443070404,0.5611759935775003,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,4
