setting,system,method,method_label,seed,noise,sparse_factor,equation,feature,coefficient,true_coefficient
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,x,-0.9981991768980697,-1.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,y,1.9235692640200055,2.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,x*x*y,-1.9366341301592551,-2.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,y,0.9956057963841349,1.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,x*x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,x,-0.9886310702667682,-1.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,y,1.9388333394020654,2.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,x*x*y,-1.929642084478039,-2.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,y,1.0006952896858545,1.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,x*x*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,x,-0.9941891386557371,-1.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,y,2.0016754884204193,2.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,x*x*y,-1.9921511602962505,-2.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,y,0.9956011744208769,1.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,x*x*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,x,-0.9886341402217548,-1.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,y,1.9388248952863942,2.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,x*x*y,-1.9296848055596825,-2.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,y,0.99299885092701,1.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,x*x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,x,-1.002869993250467,-1.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,y,1.947983486829679,2.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,x*x*y,-1.953219527919756,-2.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dx/dt,x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dx/dt,y,0.9979882978395431,1.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dx/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dx/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dx/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dx/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dx/dt,x*x*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dx/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dx/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dy/dt,x,-1.008850590161049,-1.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dy/dt,y,2.0110682265897366,2.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dy/dt,x*x*y,-2.016490926915068,-2.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dy/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dy/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dx/dt,x,0.0,0.0
