system,system_label,default_q,default_rank,default_f1_mean,default_coef_error_median,default_score_mean,best_q,best_rank,best_f1_mean,best_coef_error_median,best_score_mean
advection_diffusion,Advection--diffusion,5,4,0.6666666666666666,0.040749727990152654,0.6409781930546424,3,4,0.6666666666666666,0.03518472111047326,0.6430187283143064
burgers,Burgers,5,8,0.6666666666666666,0.21974847329926425,0.5454907473487649,1,6,0.6666666666666666,0.19268017460505515,0.5594375013249682
fisher_kpp,Fisher--KPP,5,2,0.8,0.03723315668884979,0.7708458276272626,7,10,0.8,0.040610824152121985,0.7712851764625434
