support_f1,coef_error,practical_score,threshold,status,setting,system,system_label,method,method_label,q,pod_rank,sparse_factor,noise,seed
1.0,0.0033096674665857254,0.9967012502979834,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,5,0,16,0.03,0
1.0,0.009337639308957492,0.9907487455680831,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,5,0,16,0.03,1
1.0,0.01567383286308904,0.9845680450200179,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,5,0,16,0.03,2
1.0,0.012904261307726978,0.9872601372107302,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,5,0,16,0.03,3
1.0,0.007491611832328224,0.9925640950809473,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,5,0,16,0.03,4
1.0,0.0044845185424110656,0.9955355025790557,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,7,0,16,0.03,0
1.0,0.007930136470956422,0.9921322558141558,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,7,0,16,0.03,1
1.0,0.017994700353743683,0.9823233850358054,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,7,0,16,0.03,2
1.0,0.010176646949997755,0.989925873874907,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,7,0,16,0.03,3
1.0,0.009147733419791729,0.9909351890542408,0.1,ok,ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,7,0,16,0.03,4
0.6666666666666666,0.30397425628215674,0.5112575370678267,0.1,ok,PDE,burgers,Burgers,baseline,Baseline,1,0,8,0.03,0
0.6666666666666666,0.29415671751848044,0.5151359627796752,0.1,ok,PDE,burgers,Burgers,baseline,Baseline,1,0,8,0.03,1
0.6666666666666666,0.2899029358310213,0.5168347541105223,0.1,ok,PDE,burgers,Burgers,baseline,Baseline,1,0,8,0.03,2
0.6666666666666666,0.28632388301809125,0.5182727892002379,0.1,ok,PDE,burgers,Burgers,baseline,Baseline,1,0,8,0.03,3
0.6666666666666666,0.28113499579036294,0.5203719115138089,0.1,ok,PDE,burgers,Burgers,baseline,Baseline,1,0,8,0.03,4
0.6666666666666666,0.5579764486271108,0.4279054842286823,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,0
0.6666666666666666,0.5571539322929435,0.4281315114973799,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,1
0.6666666666666666,0.5673683944923973,0.4253413996411297,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,2
0.6666666666666666,0.5557287158391276,0.4285237264564346,0.1,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,3
0.6666666666666666,0.5527890299772499,0.4293349925819827,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,4
0.6666666666666666,0.2908167523395423,0.516468867837643,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,0
0.6666666666666666,0.28459747393359847,0.5189693115503721,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,1
0.6666666666666666,0.2885083675068909,0.5173941306695483,0.05,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,2
0.6666666666666666,0.2870201003127759,0.5179924280161988,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,3
0.6666666666666666,0.28585539277197086,0.5184616173903553,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,4
0.6666666666666666,0.19883939539986525,0.5560933926802633,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,0
0.6666666666666666,0.19893671069294694,0.5560482556926251,0.07,ok,PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,1
