system,fixed_pod_rank,control,q,n_paired,n_available,n_total,noise,sparse_factor,f1_mean,f1_se,coef_error_mean,coef_error_se,coef_error_median,score_mean,score_se
burgers,8,raw,1,5,5,5,0.03,8,0.6666666666666666,0.0,0.29109855768802245,0.00386416583076304,0.2899029358310213,0.5163745909344142,0.001541296833817942
burgers,8,pod_only,1,5,5,5,0.03,8,0.6666666666666666,0.0,0.21789204539859766,0.003399760345686052,0.2178923536297687,0.5474110268154557,0.0015345730815435037
burgers,8,pod_edmd,5,5,5,5,0.03,8,0.6666666666666666,0.0,0.24144133661988518,0.019904321452884864,0.2254239080891393,0.5375410837300165,0.008279198903143374
fisher_kpp,5,raw,1,5,5,5,0.03,8,0.8,0.0,0.04090011858656132,0.003049424365930514,0.0367418410544533,0.7685918786607256,0.0022445004398776525
fisher_kpp,5,pod_only,1,5,5,5,0.03,8,0.8,0.0,0.04105507755048152,0.0029989719569640284,0.037132037864257,0.7684766080798164,0.00220699944556552
fisher_kpp,5,pod_edmd,5,5,5,5,0.03,8,0.8,0.0,0.03958146611474979,0.004120935966527267,0.0390525025344933,0.7695888842705386,0.003054043337195952
advection_diffusion,4,raw,1,5,5,5,0.03,8,0.6666666666666666,0.0,0.16762893349933788,0.0032690067245991043,0.1677360994220301,0.5709755445441252,0.0015983155686953555
advection_diffusion,4,pod_only,1,5,5,5,0.03,8,0.6666666666666666,0.0,0.0383519876523443,0.0010084312111175052,0.0389681923955086,0.6420454651532801,0.000624296949564715
advection_diffusion,4,pod_edmd,5,5,5,5,0.03,8,0.6666666666666666,0.0,0.036193446425317764,0.0008835321421551285,0.0360534827726519,0.6433823795460781,0.0005485276784732784
