system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,support_f1,coef_error,practical_score,threshold,status
lorenz63,baseline,Baseline,8,0.04,0.01,4,1,0.875,0.1012944675424132,0.7945195638298272,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.01,4,5,0.875,0.013173062834026899,0.8636234342358727,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.01,4,5,0.9333333333333333,0.012593964370867527,0.9217251595146734,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.01,5,1,1.0,0.09608623998457529,0.9123369708701686,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.01,5,5,0.9230769230769231,0.08541495393965944,0.8504368948727778,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.01,5,5,1.0,0.0013378151142633833,0.9986639722438619,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.01,6,1,1.0,0.09871619588796307,0.9101531439534463,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.01,6,5,1.0,0.0030375669465359328,0.996971631924233,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.01,6,5,1.0,0.0027222640172618476,0.9972851265849473,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.01,7,1,0.9333333333333333,0.10614950701631269,0.8437677975835948,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.01,7,5,1.0,0.008932841985314863,0.9911462471895182,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.01,7,5,1.0,0.008822345658677287,0.9912548074528256,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.01,8,1,1.0,0.10179944374064083,0.9076061942861136,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.01,8,5,1.0,0.005922641778170372,0.9941122293780952,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.01,8,5,1.0,0.005672926162645136,0.994359074391819,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.01,9,1,0.9333333333333333,0.10650535013170703,0.8434964487268307,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.01,9,5,1.0,0.010585612478732544,0.9895252689648248,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.01,9,5,1.0,0.01042531477413818,0.9896822510068757,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.03,0,1,0.875,0.10992080913572183,0.7883445312475482,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,0,5,0.9333333333333333,0.03905081488176746,0.8982557156644321,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,0,5,0.9333333333333333,0.03945538812999222,0.8979060996666964,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.03,1,1,1.0,0.09357355452534434,0.91443323209662,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,1,5,0.9333333333333333,0.012219830955790562,0.9220658445824278,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,1,5,0.9333333333333333,0.013123466354928783,0.9212434262245757,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.03,2,1,0.9333333333333333,0.1125639857707442,0.8389030611005746,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,2,5,0.9230769230769231,0.09249002687593638,0.8449293818420808,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,2,5,1.0,0.014356188242444787,0.985846994962076,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.03,3,1,0.875,0.10960936496171346,0.7885658030925068,0.1,ok
