system,method,support_f1_mean,coef_error_median,practical_score_mean,method_label
lorenz63,baseline,0.724679544815798,0.9111712827736356,0.4769557255980365,Baseline
lorenz63,edmd_poly3,0.7376490844107311,0.5459404568607321,0.5489086514808202,EDMD-polynomial
lorenz63,linear_interp,0.7267496863544615,0.9106865677063856,0.492534690851196,Linear interpolation
lorenz63,smoothing_spline_cv,0.729645145121029,0.936112585682159,0.5295455784346845,Tuned smoothing spline
vanderpol_mu2,baseline,0.9628928571428571,0.1067549602114993,0.8402051132163758,Baseline
vanderpol_mu2,edmd_poly3,0.9992857142857143,0.0157954842571266,0.9771487828950695,EDMD-polynomial
vanderpol_mu2,linear_interp,0.998015873015873,0.04884981725618125,0.9372943940794566,Linear interpolation
vanderpol_mu2,smoothing_spline_cv,0.9953665223665223,0.02679816883948625,0.9570865923170229,Tuned smoothing spline
