system,method,method_label,sparse_factor,noise,support_f1_mean,support_f1_std,coef_error_median,coef_error_mean,practical_score_mean,n_ok
lorenz63,baseline,Baseline,8,0.0,1.0,0.0,0.0983746942917222,0.0983746942917222,0.9104361245729915,10
lorenz63,baseline,Baseline,8,0.01,0.9541666666666666,0.04325669861777069,0.10154695564152699,0.10067614095013835,0.8669761642079378,10
lorenz63,baseline,Baseline,8,0.03,0.9091666666666667,0.054355085398166504,0.109313246764733,0.10901985064913836,0.8202429442102437,10
lorenz63,baseline,Baseline,8,0.05,0.8286344537815126,0.09650190513216036,0.1411278687796555,0.15743902207038718,0.7228790834361012,10
lorenz63,baseline,Baseline,8,0.1,0.7509949522142954,0.11773965929654588,0.22770917519758566,0.3848982686445145,0.57041305843204,10
lorenz63,baseline,Baseline,16,0.0,0.9333333333333332,0.0,0.36042869300369,0.36042869300369,0.6860582536469639,10
lorenz63,baseline,Baseline,16,0.01,0.9399999999999998,0.021081851067789256,0.3596751875200307,0.36029844906571806,0.6910623997986821,10
lorenz63,baseline,Baseline,16,0.03,0.8519607843137255,0.06751273329648097,0.370760956067151,0.47334393618354864,0.5944787129785314,10
lorenz63,baseline,Baseline,16,0.05,0.7442352941176471,0.101555162113568,0.7710553528459968,0.6469047219421462,0.4619148832855706,10
lorenz63,baseline,Baseline,16,0.1,0.7316085780404665,0.13343628370664348,0.7647829746731669,0.7707164060064603,0.43720757995451337,10
lorenz63,baseline,Baseline,32,0.0,0.4,0.0,0.9111712827736356,0.9111712827736355,0.20929573586909997,10
lorenz63,baseline,Baseline,32,0.01,0.5618181818181818,0.1251237526376798,1.0782212505521627,1.1685622086116125,0.25949805340259,10
lorenz63,baseline,Baseline,32,0.03,0.6275990675990676,0.09423909267018805,1.1902854348190928,1.1609362460423105,0.2894272540399801,10
lorenz63,baseline,Baseline,32,0.05,0.6435674198522496,0.06133665409271428,1.18385991536719,1.2752068171722117,0.2858152408566608,10
lorenz63,baseline,Baseline,32,0.1,0.5968024132730015,0.07809987181264678,1.1889263129385923,1.2988101355650783,0.2640500943845851,10
lorenz63,baseline,Baseline,64,0.0,0.6666666666666666,0.0,1.0275093730742937,1.0275093730742937,0.3288106459679672,10
lorenz63,baseline,Baseline,64,0.01,0.5626677670155931,0.08740890880076398,1.043639933071727,1.1894609545675237,0.25866109503548185,10
lorenz63,baseline,Baseline,64,0.03,0.6172650878533231,0.05847210998273848,1.0284570807536606,1.0266818539464189,0.304562206983384,10
lorenz63,baseline,Baseline,64,0.05,0.5708691308691309,0.10730919963569355,1.0293139794059198,1.0347176462626337,0.28081662807346497,10
lorenz63,baseline,Baseline,64,0.1,0.6022344322344322,0.05780288644897435,1.0282217352785175,1.0314100011231546,0.29650835282393995,10
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,1.0,0.0,0.004140812605797,0.004140812605797,0.9958762630162881,10
lorenz63,edmd_poly3,EDMD-polynomial,8,0.01,0.9731410256410257,0.04567099635387092,0.0074277418818146,0.01569682716305738,0.9590641335587335,10
lorenz63,edmd_poly3,EDMD-polynomial,8,0.03,0.9331410256410256,0.029724749043113716,0.019960868683718852,0.02684122621240086,0.9092872663536562,10
lorenz63,edmd_poly3,EDMD-polynomial,8,0.05,0.8358169934640524,0.10556740930494392,0.042335304008400146,0.07054048644630055,0.788985045436456,10
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0.8415476190476191,0.07024246690726658,0.0850735645765732,0.24423049744969716,0.7167619603433497,10
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0.9333333333333332,0.0,0.0101474532154333,0.0101474532154333,0.923957517649933,10
lorenz63,edmd_poly3,EDMD-polynomial,16,0.01,0.9282142857142857,0.08187701403360842,0.0148143623457866,0.18247077381185417,0.8639656803684614,10
lorenz63,edmd_poly3,EDMD-polynomial,16,0.03,0.8786842105263158,0.056921196149127946,0.031135061583782552,0.03878400628026629,0.8463355689519515,10
lorenz63,edmd_poly3,EDMD-polynomial,16,0.05,0.853218954248366,0.07585904640026109,0.06583872859973135,0.1931390737700166,0.7638001892375434,10
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0.743826797385621,0.1080204957046349,0.3277767816374653,0.47833829108385784,0.54513057334753,10
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0.625,0.0,2.72372841969358,2.72372841969358,0.1678425302700862,10
lorenz63,edmd_poly3,EDMD-polynomial,32,0.01,0.5552825596303858,0.049994554274869825,1.2606689611802624,1.222450157195557,0.25264451450070075,10
