system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,spline_alpha,spline_cv_error,spline_cv_folds,support_f1,coef_error,practical_score,threshold,status,gp_kernel,gp_cv_error,gp_cv_folds
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.01,3,5,3e-05,0.0003744161046743,4,0.9333333333333332,0.0174081979989482,0.9173636846734924,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.01,4,1,,,0,0.875,0.1012944675424132,0.7945195638298272,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.01,4,5,,,0,0.9333333333333332,0.0291104818864933,0.90693210278299,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.01,4,5,0.0,0.0003546343811851,4,0.9333333333333332,0.0134480775038426,0.920948348564798,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.01,5,1,,,0,1.0,0.0960862399845752,0.9123369708701686,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.01,5,5,,,0,0.9333333333333332,0.022693555599644,0.9126226798076228,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.01,5,5,3e-05,0.0003840446028887,4,1.0,0.0013448340751726,0.9986569720745456,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.01,6,1,,,0,1.0,0.098716195887963,0.9101531439534464,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.01,6,5,,,0,1.0,0.0199320265527616,0.98045749517237,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.01,6,5,1e-05,0.0003457031558939,4,1.0,0.0040801686332338,0.9959364114931302,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.01,7,1,,,0,0.9333333333333332,0.1061495070163126,0.8437677975835948,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.01,7,5,,,0,1.0,0.0258544952681193,0.974797112663271,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.01,7,5,1e-05,0.0003266182561948,4,1.0,0.0102934417892969,0.9898114336255944,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.01,8,1,,,0,1.0,0.1017994437406408,0.9076061942861136,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.01,8,5,,,0,1.0,0.0228413862184048,0.9776686918165748,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.01,8,5,1e-05,0.0003246540922844,4,1.0,0.0063898042238279,0.9936507661375246,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.01,9,1,,,0,0.9333333333333332,0.106505350131707,0.8434964487268307,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.01,9,5,,,0,0.9333333333333332,0.029601799691218,0.9064993219837456,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.01,9,5,0.0,0.0003109590306571,4,1.0,0.0113706149610235,0.9887572223348988,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.03,0,1,,,0,0.875,0.1099208091357218,0.7883445312475482,0.1,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.03,0,5,,,0,0.875,0.0518359891385627,0.8318787425372385,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.03,0,5,0.0001,0.0016821487270721,4,0.7777777777777778,0.0442208754342508,0.7448402881759382,0.03,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.03,1,1,,,0,1.0,0.0935735545253443,0.91443323209662,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.03,1,5,,,0,0.9333333333333332,0.0186275050082947,0.9162655914398592,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.03,1,5,0.0003,0.0016589372203457,4,1.0,0.0040441917768319,0.9959720978319938,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.03,2,1,,,0,0.9333333333333332,0.1125639857707442,0.8389030611005746,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.03,2,5,,,0,0.7,0.0638066689144181,0.6580142994537986,0.03,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.03,2,5,0.0003,0.001824937340445,4,0.8235294117647058,0.0207452769315866,0.8067922824392371,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.03,3,1,,,0,0.875,0.1096093649617134,0.7885658030925068,0.1,ok,,,
