method,method_label,support_f1_mean,coef_error_median,practical_score_mean
baseline,Baseline,0.8437862009793275,0.30760859789788175,0.6585804194072062
edmd_poly3,EDMD-polynomial,0.8684673993482227,0.0302361933057213,0.7630287171879447
linear_interp,Linear interpolation,0.8623827796851673,0.1271413327241937,0.7149145424653263
smoothing_spline_cv,Tuned smoothing spline,0.8625058337437757,0.0466366972670772,0.7433160853758537
