sparse_factor,Baseline,EDMD-polynomial,Linear interpolation,Tuned smoothing spline
8,0.09837469429172221,0.010349763190709736,0.022039560060262427,0.016148297861721814
16,0.2217395399673468,0.018364340684432864,0.10850630896946264,0.03008643413751716
32,0.5871369737873038,0.32355060438152494,0.3971402798243635,0.37554953883569653
64,0.9123401141271579,0.5647462372609415,0.8802240705573017,0.9315518028340668
