noise,Baseline,EDMD-polynomial,Linear interpolation,Tuned smoothing spline
0.0,0.2335918266075947,0.008511669620534023,0.08786428977567191,0.018718722504723034
0.01,0.23176726697523228,0.01059022072580644,0.08696720572821373,0.025974523218020296
0.03,0.20494717982075555,0.020516264566258276,0.12083442386858699,0.03689032374985224
0.05,0.28625124121710854,0.039294340625819386,0.11821279802470211,0.056829053725554836
0.1,0.3847518653855345,0.08702180771263769,0.189630034425531,0.1428070975151875
