system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,spline_alpha,spline_cv_error,spline_cv_folds,gp_kernel,gp_cv_error,gp_cv_folds,support_f1,coef_error,practical_score,threshold,status
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,0,5,,,0,,,0,0.9333333333333333,0.03945710132819585,0.8979046197680887,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,1,5,,,0,,,0,0.9333333333333333,0.0122198309560037,0.9220658445822336,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,1,5,,,0,,,0,0.9333333333333333,0.012869440026774103,0.9214744728685482,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,2,5,,,0,,,0,0.9230769230769231,0.09249002687598672,0.8449293818420418,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,2,5,,,0,,,0,1.0,0.014721983156396298,0.9854916091296239,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,3,5,,,0,,,0,0.9333333333333333,0.020662007130397106,0.9144391843852507,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,3,5,,,0,,,0,0.9333333333333333,0.020009254930999514,0.9150243772998613,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,4,5,,,0,,,0,0.9333333333333333,0.02006768102732564,0.9149719677358654,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,4,5,,,0,,,0,0.875,0.019145459793170422,0.8585624275631627,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,5,5,,,0,,,0,0.9333333333333333,0.020729254816104853,0.9143789393020613,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,5,5,,,0,,,0,1.0,0.008362382275967648,0.9917069672342466,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,6,5,,,0,,,0,0.875,0.01446463985174646,0.8625239023884285,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,6,5,,,0,,,0,0.875,0.013962654348229176,0.8629509146591264,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,7,5,,,0,,,0,0.9333333333333333,0.019854056340112107,0.9151636231979403,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,7,5,,,0,,,0,0.875,0.01926443515575357,0.8584622104138181,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,8,5,,,0,,,0,0.9333333333333333,0.018887851364676484,0.9160314671366891,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,8,5,,,0,,,0,0.9333333333333333,0.01966969430733499,0.915329089943533,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.03,9,5,,,0,,,0,1.0,0.009986098880390135,0.9901126373011865,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.03,9,5,,,0,,,0,1.0,0.010915532923937118,0.9892023294049449,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,0,5,,,0,,,0,0.875,0.02961769593362185,0.8498299936527219,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,0,5,,,0,,,0,0.9333333333333333,0.032449285597830134,0.903999204951646,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,1,5,,,0,,,0,0.8235294117647058,0.05738968773440576,0.7788324600831167,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,1,5,,,0,,,0,0.8235294117647058,0.05937272063114302,0.7773745686731214,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,2,5,,,0,,,0,0.9333333333333333,0.032703851287836795,0.9037763654792387,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,2,5,,,0,,,0,0.5833333333333334,0.40040808438965103,0.4165452483713498,0.03,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,3,5,,,0,,,0,0.9333333333333333,0.03176063122154631,0.9046025842528217,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,3,5,,,0,,,0,0.875,0.03166570687637683,0.8481429538346089,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,4,5,,,0,,,0,0.5833333333333334,0.28314354934942515,0.4546126843166479,0.03,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,4,5,,,0,,,0,0.875,0.0570770031137345,0.8277542671182828,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,5,5,,,0,,,0,0.8235294117647058,0.042389343781877274,0.7900401291295545,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,5,5,,,0,,,0,0.75,0.09323664035957177,0.6860362819099447,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,6,5,,,0,,,0,0.9333333333333333,0.03610193888431401,0.9008122640310441,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,6,5,,,0,,,0,0.7777777777777778,0.040847384891244544,0.7472543900939386,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,7,5,,,0,,,0,0.8,0.09583890397272776,0.730034311703821,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,7,5,,,0,,,0,0.9333333333333333,0.05126488253197614,0.8878193772490487,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,8,5,,,0,,,0,0.875,0.042281264234923156,0.8395046807660749,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,8,5,,,0,,,0,0.5384615384615384,0.32531961364678086,0.4062880628317987,0.03,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,9,5,,,0,,,0,0.7777777777777778,0.05417799806232802,0.7378049809495187,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,9,5,,,0,,,0,0.9333333333333333,0.05310885750309493,0.8862648212324911,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,0,5,,,0,,,0,0.8571428571428571,1.3397458351231062,0.3663401572409502,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,0,5,,,0,,,0,0.7368421052631579,0.26365311800903407,0.5831047261008618,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,1,5,,,0,,,0,0.875,0.07522603030057631,0.8137823818824367,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,1,5,,,0,,,0,0.5882352941176471,0.46463547757673784,0.4016257308548141,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,2,5,,,0,,,0,0.9333333333333333,0.053083959847523746,0.8862857748478772,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,2,5,,,0,,,0,0.9333333333333333,0.06575474099171204,0.8757487041200894,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,3,5,,,0,,,0,0.875,0.07998490760167726,0.8101965072300064,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,3,5,,,0,,,0,0.7,0.30976249881012385,0.5344480397292845,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,4,5,,,0,,,0,0.75,0.12951464417137803,0.6640020152640046,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,4,5,,,0,,,0,0.75,0.12114608944435709,0.6689583160136624,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,5,5,,,0,,,0,0.8,0.437955187339578,0.5563455711579678,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,5,5,,,0,,,0,0.5833333333333334,0.6298359709236231,0.3579092275173925,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,6,5,,,0,,,0,0.7,0.05294981192680342,0.6647990170766667,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,6,5,,,0,,,0,0.7368421052631579,0.09160620520722716,0.6750072523848268,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,7,5,,,0,,,0,0.875,0.10989073911251507,0.7883658896907842,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,7,5,,,0,,,0,0.875,0.10968660914640241,0.7885109118087593,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,8,5,,,0,,,0,0.875,0.07379163752234484,0.8148694489919529,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,8,5,,,0,,,0,0.75,0.11455467231103045,0.6729144999633567,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.1,9,5,,,0,,,0,0.875,0.0901622215514692,0.8026328400508502,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.1,9,5,,,0,,,0,0.5384615384615384,0.5854182060381128,0.33963375493657855,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,0,5,,,0,,,0,0.9333333333333333,0.010147453215433356,0.9239575176499327,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,0,5,,,0,,,0,1.0,0.007650027384026303,0.9924080512319474,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,1,5,,,0,,,0,0.9333333333333333,0.010147453215433356,0.9239575176499327,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,1,5,,,0,,,0,0.8235294117647058,0.04031129239921465,0.791618256748366,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,2,5,,,0,,,0,0.9333333333333333,0.010147453215433356,0.9239575176499327,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,2,5,,,0,,,0,1.0,0.00994040356741809,0.9901574354958912,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,3,5,,,0,,,0,0.9333333333333333,0.010147453215433356,0.9239575176499327,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,3,5,,,0,,,0,0.9333333333333333,0.010559720406328929,0.9235805806291743,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,4,5,,,0,,,0,0.9333333333333333,0.010147453215433356,0.9239575176499327,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,4,5,,,0,,,0,1.0,0.007328562568983484,0.9927247545227017,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,5,5,,,0,,,0,0.9333333333333333,0.010147453215433356,0.9239575176499327,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.0,5,5,,,0,,,0,1.0,0.009538052957282685,0.9905520619759282,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.0,6,5,,,0,,,0,0.9333333333333333,0.010147453215433356,0.9239575176499327,0.1,ok
