noise,EDMD-polynomial,EDMD-RBF
0.0,0.007144132910615224,0.005461792505609324
0.01,0.009759227231777941,0.008767872023466464
0.03,0.020234147948508814,0.022836935868106485
0.05,0.039330671325701644,0.04688761856522153
0.1,0.08717848432174508,0.27395455841277355
