sparse_factor,EDMD-polynomial,EDMD-RBF
8,0.010349763190710536,0.008648749055718231
16,0.016283685771004357,0.020790610848617
32,0.3135953500199389,0.3105807933356299
64,0.5661437417615469,0.8887036716461987
