method,method_label,support_f1_mean,coef_error_median,practical_score_mean
baseline,Baseline,0.8,0.0428263665227918,0.7669353311444425
pod_edmd_rbf,POD-EDMD-RBF,0.9199999999999999,0.017839448698777592,0.8975296768942748
