system,method,support_f1_mean,coef_error_median,practical_score_mean,method_label
lorenz63,baseline,0.724679544815798,0.9111712827736356,0.4769557255980365,Baseline
lorenz63,edmd_poly3,0.7376490844107311,0.5459404568607321,0.5489086514808202,EDMD-polynomial
lorenz63,edmd_rbf,0.7244494643047841,0.8854201578300323,0.5263173808710991,EDMD-RBF
vanderpol_mu2,baseline,0.9628928571428571,0.1067549602114993,0.8402051132163758,Baseline
vanderpol_mu2,edmd_poly3,0.9992857142857143,0.0157954842571266,0.9771487828950695,EDMD-polynomial
vanderpol_mu2,edmd_rbf,0.9829022366522366,0.01227614984194105,0.9446427351527101,EDMD-RBF
