sparse_factor,Baseline,EDMD-polynomial,EDMD-RBF
8,0.0983746942917222,0.010349763190710501,0.0086487490557182
16,0.22173953996734674,0.0162836857710043,0.02079061084861695
32,0.5871369737873037,0.3135953500199389,0.3105807933356298
64,0.9123401141271579,0.5661437417615469,0.8887036716461988
