system,method,method_label,sparse_factor,noise,support_f1_mean,support_f1_std,coef_error_median,coef_error_mean,practical_score_mean,n_ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,1.0,0.0,0.003982790925643151,0.0039993672184580305,0.9960165761882489,10
lorenz63,edmd_rbf,EDMD-RBF,8,0.01,0.9866666666666667,0.028109134757052297,0.00539095637827645,0.00711861316572663,0.9798052146740741,10
lorenz63,edmd_rbf,EDMD-RBF,8,0.03,0.9358333333333333,0.051076377086636614,0.016933721474783302,0.01783779382467582,0.9196109018284954,10
lorenz63,edmd_poly3,EDMD-polynomial,8,0.05,0.8358169934640524,0.10556740930494392,0.042335304008400146,0.07054048644630055,0.788985045436456,10
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0.8415476190476191,0.07024246690726658,0.0850735645765732,0.24423049744969716,0.7167619603433497,10
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0.9623529411764705,0.05802508218656752,0.010250061986873449,0.013752747025709269,0.9498370616089418,10
lorenz63,edmd_rbf,EDMD-RBF,16,0.01,0.9523809523809523,0.04708697452124237,0.014978824006932099,0.02148075003182106,0.9336755481506941,10
lorenz63,edmd_poly3,EDMD-polynomial,16,0.03,0.8786842105263158,0.056921196149127946,0.031135061583782552,0.03878400628026629,0.8463355689519515,10
lorenz63,edmd_poly3,EDMD-polynomial,16,0.05,0.853218954248366,0.07585904640026109,0.06583872859973135,0.1931390737700166,0.7638001892375434,10
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0.743826797385621,0.1080204957046349,0.3277767816374653,0.47833829108385784,0.54513057334753,10
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0.6007146338067391,0.08663361517695777,1.2658528972414151,1.3715753748507349,0.2584765969051517,10
lorenz63,baseline,Baseline,32,0.01,0.5618181818181818,0.1251237526376798,1.0782212505521627,1.1685622086116125,0.25949805340259,10
lorenz63,edmd_poly3,EDMD-polynomial,32,0.03,0.586988625409678,0.0657834204693185,1.3124526314881448,1.0226277216226292,0.3116957358355557,10
lorenz63,edmd_poly3,EDMD-polynomial,32,0.05,0.6493203597228365,0.09641818368118661,1.2896270268995829,1.1276638090092024,0.3402937837138639,10
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0.6036848695374696,0.08361435581596907,1.024325377415827,1.0783139815179126,0.3016963814966784,10
lorenz63,baseline,Baseline,64,0.0,0.6666666666666666,0.0,1.0275093730742937,1.0275093730742937,0.3288106459679672,10
lorenz63,edmd_poly3,EDMD-polynomial,64,0.01,0.5618061178587495,0.058087700811771795,1.1366468531984881,1.1742919611361213,0.2596735383336392,10
lorenz63,baseline,Baseline,64,0.03,0.6172650878533231,0.05847210998273848,1.0284570807536606,1.0266818539464189,0.304562206983384,10
lorenz63,baseline,Baseline,64,0.05,0.5708691308691309,0.10730919963569355,1.0293139794059198,1.0347176462626337,0.28081662807346497,10
lorenz63,baseline,Baseline,64,0.1,0.6022344322344322,0.05780288644897435,1.0282217352785175,1.0314100011231546,0.29650835282393995,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.0,1.0,0.0,0.0002387748033307,0.00023877480333069998,0.9997612821964659,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.01,1.0,0.0,0.0028907148508570497,0.00254604393337304,0.9974613461711058,10
vanderpol_mu2,edmd_rbf,EDMD-RBF,8,0.03,1.0,0.0,0.00771904251482225,0.00806950442318205,0.9920017300236642,10
vanderpol_mu2,edmd_rbf,EDMD-RBF,8,0.05,1.0,0.0,0.008319744582886,0.009697946021183129,0.9904174833435487,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.1,1.0,0.0,0.028286389497569647,0.02989635101192737,0.9711579454320134,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.0,1.0,0.0,0.0009545874844077,0.0009545874844076998,0.9990463228838316,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.01,1.0,0.0,0.0030939054732384,0.00315696958319637,0.9968542617388007,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.03,1.0,0.0,0.010615233171355098,0.01160052988100717,0.9885591940107872,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.05,1.0,0.0,0.02576345183125385,0.02214902257064415,0.9784115366233206,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.1,1.0,0.0,0.03496094833743365,0.03361677385548112,0.9676124994257636,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.0,1.0,0.0,0.0039036201190318,0.0039036201190318005,0.9961115588779638,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.01,1.0,0.0,0.0053438129872933,0.00500144776166205,0.9950249693980565,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.03,1.0,0.0,0.01670244252903495,0.01687546846322468,0.9834310930483576,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.05,1.0,0.0,0.0298162864731649,0.03348933686832866,0.9677872489923057,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.1,0.9857142857142858,0.04517539514526258,0.05505296985462125,0.07690576181942452,0.9222654863296297,10
vanderpol_mu2,edmd_rbf,EDMD-RBF,64,0.0,1.0,0.0,0.0065326547154005,0.00648801299266282,0.9935539213085975,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.01,1.0,0.0,0.03109157933873965,0.029662751602713172,0.9712407034262436,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.03,1.0,0.0,0.0276253351431514,0.02853989135030378,0.9726351171851905,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.05,1.0,0.0,0.0331282873833605,0.036483315662239765,0.9650580901831003,10
