system,method,method_label,noise,support_f1_mean,coef_error_median,coef_error_mean,derivative_error_median,state_error_median,exact_support_rate,practical_score_mean,n_ok,support_f1_se,coef_error_se
burgers,baseline,Raw FD,0.1,0.5833333333333333,0.7212365175030468,0.7212365175030468,1.413523021712947,0.10028483926944096,0.0,0.3390067513607097,2,,
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.1,0.5833333333333333,0.8766962253735036,0.8766962253735036,8.18446591051113,0.28627275547310616,0.0,0.3150924291090595,2,,
burgers,pod_tv_diff,POD + TV differentiation,0.1,0.6666666666666666,0.4222734411566607,0.4222734411566607,0.33831141619558613,0.0478343662521747,0.0,0.4704543678291885,2,,
burgers,tv_diff,TV differentiation,0.1,0.6666666666666666,0.4946579361803487,0.4946579361803487,0.41855244184033635,0.058889342791703894,0.0,0.45080860040470316,2,,
lorenz63,baseline,Raw FD,0.1,0.6333333333333333,0.9820243142393663,0.9820243142393663,0.6020913174029303,0.05191325805934695,0.0,0.319322874039522,2,,
lorenz63,edmd_poly3,Polynomial EDMD,0.1,0.618421052631579,0.5434236118078896,0.5434236118078896,0.7519426294871592,0.2859887563604161,0.0,0.46009202610222244,2,,
lorenz63,tv_diff,TV differentiation,0.1,0.5631578947368421,0.9696159765846956,0.9696159765846956,0.6285496675367236,0.2747384985862775,0.0,0.28629567984529064,2,,
