system,method,seed,support_f1,practical_score,coef_error
burgers,edmd_weak,0,0.8888888888888888,0.8731814355705046,0.022077515658883815
burgers,edmd_weak,1,0.8888888888888888,0.8704683123749254,0.02570205600515475
burgers,edmd_weak,2,0.8888888888888888,0.868949121749877,0.027017494200249684
burgers,edmd_weak,3,0.9444444444444445,0.9264402762780316,0.021522629563976086
burgers,edmd_weak,4,0.9111111111111111,0.8923542622434336,0.023861176829130037
burgers,linear_weak,0,0.9444444444444445,0.9295995550354142,0.018036459396338883
burgers,linear_weak,1,0.9444444444444445,0.9288995261715112,0.01931154422387485
burgers,linear_weak,2,0.8888888888888888,0.8699238459697741,0.025904845238565084
burgers,linear_weak,3,0.9444444444444445,0.9275300355875061,0.020262267030508117
burgers,linear_weak,4,0.9444444444444445,0.9320906137933137,0.015517812154981799
burgers,pod_tv_weak,0,0.9666666666666667,0.9518584771563616,0.016960936647804268
burgers,pod_tv_weak,1,0.8888888888888888,0.8717701645964228,0.023914463429386783
burgers,pod_tv_weak,2,0.8888888888888888,0.8695543193080989,0.026327461859265832
burgers,pod_tv_weak,3,0.8888888888888888,0.8712579468819214,0.024308432650321083
burgers,pod_tv_weak,4,1.0,0.9890841123088805,0.011124040849440117
burgers,pod_weak,0,0.9444444444444445,0.9298046175820301,0.0179578507052356
burgers,pod_weak,1,0.8888888888888888,0.8708791952650342,0.025127600883974133
burgers,pod_weak,2,0.8888888888888888,0.8689982758541448,0.026898583369603647
burgers,pod_weak,3,0.9444444444444445,0.9263819421437516,0.021544399090172448
burgers,pod_weak,4,0.9111111111111111,0.8933255314363536,0.022789872803907468
burgers,raw_weak,0,0.9444444444444445,0.9294837815363598,0.01816088392115105
burgers,raw_weak,1,0.9444444444444445,0.928569704049942,0.019675026760688816
burgers,raw_weak,2,0.8888888888888888,0.8701935661537372,0.025650826107693685
burgers,raw_weak,3,0.9444444444444445,0.9275749874717656,0.020210798007210765
burgers,raw_weak,4,0.9444444444444445,0.9318329304693918,0.015776721418223283
burgers,tv_weak,0,0.9444444444444445,0.9299659071095859,0.0176995530287952
burgers,tv_weak,1,0.9444444444444445,0.9283495901074544,0.0198747979324249
burgers,tv_weak,2,0.8888888888888888,0.8723106345787989,0.023030822324631117
burgers,tv_weak,3,0.8888888888888888,0.8710395351337499,0.024223898734881965
burgers,tv_weak,4,0.9444444444444445,0.9314430776186108,0.01617964791024998
vanderpol_mu2,edmd_weak,0,0.8373015873015873,0.6884404037241737,0.37411057354104776
vanderpol_mu2,edmd_weak,1,0.8345238095238096,0.7027820184947319,0.3406466001849496
vanderpol_mu2,edmd_weak,2,0.8819143819143819,0.7585753429074481,0.34255001864351237
vanderpol_mu2,edmd_weak,3,0.8928571428571428,0.7750293293028668,0.3117680836910504
vanderpol_mu2,edmd_weak,4,0.9166666666666666,0.7950241040996232,0.21454600121091086
vanderpol_mu2,linear_weak,0,0.9095238095238095,0.7036728576422759,0.36146627433353107
vanderpol_mu2,linear_weak,1,0.9444444444444443,0.7902470024315608,0.26299150918749287
vanderpol_mu2,linear_weak,2,0.9074074074074074,0.7930652175408953,0.22216964748374413
vanderpol_mu2,linear_weak,3,0.8174603174603173,0.6568539148215251,0.4048551226784987
vanderpol_mu2,linear_weak,4,1.0,0.8930864810327487,0.13016560773524954
vanderpol_mu2,raw_weak,0,0.919047619047619,0.7249193179205546,0.3340236314054527
vanderpol_mu2,raw_weak,1,0.9761904761904762,0.8720803820737181,0.14338445863488916
vanderpol_mu2,raw_weak,2,0.8833333333333333,0.7472621482561203,0.29099580770137057
vanderpol_mu2,raw_weak,3,0.9444444444444443,0.8191800178552159,0.20763018790615687
vanderpol_mu2,raw_weak,4,0.9761904761904763,0.8665313618952486,0.16470235482689907
vanderpol_mu2,tv_weak,0,0.942857142857143,0.7833646294967956,0.26872011709112414
vanderpol_mu2,tv_weak,1,0.942857142857143,0.8045596690838256,0.261055124344232
vanderpol_mu2,tv_weak,2,0.8703703703703703,0.7422138866673444,0.313034510826289
vanderpol_mu2,tv_weak,3,0.9545454545454546,0.8237236179396797,0.20899974038257532
vanderpol_mu2,tv_weak,4,1.0,0.913435803257482,0.10359155552554127
