system,sparse_factor,noise,seed,method,fold,lam,cv_mse,solver_primal_objective,solver_dual_objective,solver_primal_dual_gap,solver_relative_primal_dual_gap,solver_max_relative_gap,solver_kkt_stationarity_max,solver_kkt_complementarity_gap,solver_kkt_subgradient_prox_max,solver_masked_dual_stationarity_max,solver_dual_box_violation,solver_dual_scale_min,solver_converged,solver_iterations,solver_rho,solver_tolerance,solver_method,solver_elapsed_seconds,solver_n_observed,solver_n_times,solver_n_channels,solver_objective
burgers,8,0.05,0,pod_tv_weak,0,0.0,0.0031422591850328524,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,True,0,0.0,1e-05,zero-penalty interpolation,0.0011198530010005925,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.05,0,pod_tv_weak,0,0.0001,0.003333701699483955,"[0.00019079358727938994, 0.00028148185548472514, 0.00019344888042814167, 0.0003049889908496937, 0.0002648001711571482, 0.0004091826339016204, 0.0006273292716203198, 0.0005124676858227108]","[0.00019066130444741938, 0.00028130685262070347, 0.00019338902634445166, 0.0003046117282213886, 0.0002645268726267504, 0.000409057493470584, 0.0006268094274997827, 0.0005120283465125905]","[1.3228283197056303e-07, 1.7500286402167328e-07, 5.98540836900096e-08, 3.7726262830508955e-07, 2.7329853039779204e-07, 1.2514043103639075e-07, 5.198441205370727e-07, 4.3933931012023024e-07]","[1.3228283197056303e-07, 1.7500286402167328e-07, 5.98540836900096e-08, 3.7726262830508955e-07, 2.7329853039779204e-07, 1.2514043103639075e-07, 5.198441205370727e-07, 4.3933931012023024e-07]",5.198441205370727e-07,3.287070669422826e-07,"[1.3228242587586306e-07, 1.7500256153956707e-07, 5.985401529029662e-08, 3.7726148516026596e-07, 2.7329763603394473e-07, 1.251403313471994e-07, 5.198433650092709e-07, 4.393387447726568e-07]",1.543272159211951e-05,1.3552527156068805e-20,0.0,0.9989044576295197,True,50,0.02,1e-05,banded ADMM with dual certificate,0.007362406999163795,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.05,0,pod_tv_weak,0,0.001,0.0032824138481303104,"[0.001837828122483561, 0.002730940528019015, 0.0018640881821328707, 0.0029643030454179382, 0.002559634531271868, 0.0040098455436925464, 0.006184018353163239, 0.005055152546820762]","[0.0018375087922451834, 0.002730249922221885, 0.0018638997674301628, 0.0029635355351591104, 0.0025592702819415233, 0.004008775187926543, 0.006181932240567129, 0.0050542875914915755]","[3.193302383775864e-07, 6.90605797130147e-07, 1.8841470270786198e-07, 7.67510258827854e-07, 3.642493303446584e-07, 1.0703557660031796e-06, 2.0861125961104884e-06, 8.649553291861442e-07]","[3.193302383775864e-07, 6.90605797130147e-07, 1.8841470270786198e-07, 7.67510258827854e-07, 3.642493303446584e-07, 1.0703557660031796e-06, 2.0861125961104884e-06, 8.649553291861442e-07]",2.0861125961104884e-06,1.0667168280731158e-06,"[3.193284526445666e-07, 6.905992535892642e-07, 1.8841405305522127e-07, 7.675027214925148e-07, 3.6424771205061796e-07, 1.0703492575748347e-06, 2.086100050009178e-06, 8.649530642340295e-07]",6.556728941854717e-05,4.336808689942018e-19,0.0,0.999644465089332,True,50,0.02,1e-05,banded ADMM with dual certificate,0.007596799998282222,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.05,0,pod_tv_weak,0,0.01,0.003140458335162862,"[0.013325131984391987, 0.021009981079911023, 0.013806360917850178, 0.02257104728166823, 0.018427423119348984, 0.03294116506963546, 0.052906847979207985, 0.04421392957325326]","[0.013325028729995685, 0.02100988824538795, 0.013806127313861435, 0.022571045090234002, 0.018418481177050656, 0.03294094927316585, 0.05290682614569172, 0.04421391732128637]","[1.0325439630219646e-07, 9.283452307232154e-08, 2.3360398874322508e-07, 2.191434228526745e-09, 8.941942298328065e-06, 2.1579646961034094e-07, 2.1833516265779007e-08, 1.2251966892418142e-08]","[1.0325439630219646e-07, 9.283452307232154e-08, 2.3360398874322508e-07, 2.191434228526745e-09, 8.941942298328065e-06, 2.1579646961034094e-07, 2.1833516265779007e-08, 1.2251966892418142e-08]",8.941942298328065e-06,8.569099564328941e-06,"[1.032541939848669e-07, 9.283450528967119e-08, 2.3360356804155713e-07, 2.1914341244433366e-09, 8.9414643234427e-06, 2.1579615676337038e-07, 2.1833513948188443e-08, 1.2251966267917691e-08]",0.00016200829993139043,3.469446951953614e-18,0.0,0.9997143633867487,True,75,0.196,1e-05,banded ADMM with dual certificate,0.010337171999708517,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.05,0,pod_tv_weak,0,0.1,0.00292033594141722,"[0.04760370456522443, 0.07724102002745142, 0.0656156320409231, 0.08246192831805382, 0.06502304223688946, 0.12098950365406448, 0.1427877039174166, 0.14417525644864343]","[0.0476037045652146, 0.07724102002744249, 0.06561563204091879, 0.08246191612214315, 0.06502297723100041, 0.12098950043780377, 0.14278603170677678, 0.14416563837213575]","[9.832412661836543e-15, 8.93729534823251e-15, 4.315992008230296e-15, 1.2195910670254051e-08, 6.500588904667648e-08, 3.2162607160879375e-09, 1.6722106398192604e-06, 9.618076507678097e-06]","[9.832412661836543e-15, 8.93729534823251e-15, 4.315992008230296e-15, 1.2195910670254051e-08, 6.500588904667648e-08, 3.2162607160879375e-09, 1.6722106398192604e-06, 9.618076507678097e-06]",9.618076507678097e-06,2.242438248312162e-06,"[9.96425164601078e-15, 9.01362318117549e-15, 4.371503159461554e-15, 1.219591058004843e-08, 6.500588804747576e-08, 3.216260674454574e-09, 1.6722089836301857e-06, 9.618057797700086e-06]",1.5380744199225416e-05,2.7755575615628914e-17,0.0,0.9999874693874986,True,150,0.9800000000000001,1e-05,banded ADMM with dual certificate,0.01987953099887818,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.05,0,pod_tv_weak,0,1.0,0.0030452799973081173,"[0.2982298289576125, 0.41630353508363455, 0.4540016975083576, 0.4378444714063396, 0.34631096109812887, 0.21887932916030775, 0.17391181627622357, 0.16296053024906448]","[0.29822982895757727, 0.4163035350836121, 0.4540016975083207, 0.4378444714063292, 0.34631096109812715, 0.21887898008501475, 0.17390603452088652, 0.16295073884136008]","[3.524958103184872e-14, 2.2426505097428162e-14, 3.6914915568786455e-14, 1.0380585280245214e-14, 1.7208456881689926e-15, 3.4907529300465256e-07, 5.781755337053163e-06, 9.791407704407007e-06]","[3.524958103184872e-14, 2.2426505097428162e-14, 3.6914915568786455e-14, 1.0380585280245214e-14, 1.7208456881689926e-15, 3.4907529300465256e-07, 5.781755337053163e-06, 9.791407704407007e-06]",9.791407704407007e-06,1.4104147794125055e-08,"[3.594347042223944e-14, 2.225997164373439e-14, 3.68594044175552e-14, 1.0325074129013956e-14, 1.8318679906315083e-15, 3.490752924981133e-07, 5.781755337138488e-06, 9.791407704410576e-06]",4.924517767457282e-07,3.3306690738754696e-16,0.0,0.9999999471277624,True,3550,9.8,1e-05,banded ADMM with dual certificate,0.28667716500058305,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.05,0,pod_tv_weak,0,10.0,0.006080938054348265,"[1.5099666315662201, 3.14027841038725, 3.0445234999162354, 1.154679345270681, 0.4405090733972836, 0.22121073559032303, 0.17390653489105892, 0.16295170715640372]","[1.5099666315658562, 3.1402782892673735, 3.0445234999161643, 1.154670436311501, 0.44050756214071063, 0.2212090395811486, 0.17390603956159773, 0.1629507577890944]","[3.639311074721263e-13, 1.2111987635066157e-07, 7.105427357601002e-14, 8.908959179931841e-06, 1.511256572994668e-06, 1.6960091744344652e-06, 4.953294611975689e-07, 9.493673093219357e-07]","[2.410193045753846e-13, 3.856978921041763e-08, 2.3338388939341394e-14, 7.715526580102978e-06, 1.511256572994668e-06, 1.6960091744344652e-06, 4.953294611975689e-07, 9.493673093219357e-07]",7.715526580102978e-06,6.402401275806824e-09,"[3.590461261637756e-13, 1.2111986480434211e-07, 7.149836278586008e-14, 8.90895917912185e-06, 1.5112565730781955e-06, 1.6960091743646157e-06, 4.953294612920746e-07, 9.493673093000537e-07]",6.846635969282033e-07,3.552713678800501e-15,0.0,0.9999999711192424,True,775,49.0,1e-05,banded ADMM with dual certificate,0.05824955400021281,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.05,0,pod_tv_weak,0,100.0,0.020622866349534218,"[2.007034339872227, 18.629571880663867, 3.9574612103595097, 1.1546718279367865, 0.44050773623409706, 0.22120923584635718, 0.1739060952835318, 0.16295086570109052]","[2.007028296059128, 18.62957177431192, 3.957459825512862, 1.1546704365064757, 0.4405075621435984, 0.22120903958482235, 0.173906039561892, 0.1629507577902008]","[6.043813098877138e-06, 1.0635194769292866e-07, 1.3848466475785415e-06, 1.3914303107487314e-06, 1.7409049868355453e-07, 1.9626153482943387e-07, 5.572163980227529e-08, 1.0791088972395002e-07]","[3.011315242001242e-06, 5.708770355765084e-09, 3.499330944680914e-07, 1.2050439588839664e-06, 1.7409049868355453e-07, 1.9626153482943387e-07, 5.572163980227529e-08, 1.0791088972395002e-07]",3.011315242001242e-06,4.1300296516055823e-14,"[6.043813075073277e-06, 1.0635193969932288e-07, 1.3848466472069824e-06, 1.3914303106681713e-06, 1.7409049863777055e-07, 1.9626153486970618e-07, 5.5721639750903385e-08, 1.0791088973468254e-07]",2.4381624541547353e-07,1.4210854715202004e-14,0.0,1.0,True,225,245.0,1e-05,banded ADMM with dual certificate,0.026637643997673877,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.05,0,pod_tv_weak,0,1000.0,0.027213985649670022,"[2.0070282960733135, 19.49951171887866, 3.9574598255131983, 1.1546704365065346, 0.44050756214362496, 0.22120903958482804, 0.1739060395618938, 0.1629507577902052]","[2.007028296059732, 19.499511718878313, 3.9574598255128857, 1.1546704365065001, 0.4405075621435988, 0.22120903958482277, 0.17390603956189202, 0.1629507577902009]","[1.3581580304844465e-11, 3.481659405224491e-13, 3.126388037344441e-13, 3.441691376337985e-14, 2.6145752229922437e-14, 5.2735593669694936e-15, 1.7763568394002505e-15, 4.3021142204224816e-15]","[6.767009877945613e-12, 1.7855110709534768e-14, 7.899986797564053e-14, 2.98066986693697e-14, 2.6145752229922437e-14, 5.2735593669694936e-15, 1.7763568394002505e-15, 4.3021142204224816e-15]",6.767009877945613e-12,5.706546346573305e-14,"[1.3574300923822425e-11, 3.5379461392036805e-13, 3.1163298910510345e-13, 3.451611384085119e-14, 2.617212402897612e-14, 5.244743245554902e-15, 1.7795822853830965e-15, 4.272431092489144e-15]",1.3322676295501878e-15,1.4210854715202004e-14,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.0009173190010187682,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,8,0.05,0,pod_tv_weak,1,0.0,0.0031741603395334154,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,True,0,0.0,1e-05,zero-penalty interpolation,0.001098210002965061,33,49,8,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
