system,sparse_factor,noise,seed,control,delta_f1,delta_error,delta_score,edmd_score_win,edmd_score_tie
burgers,32,0.2,3,linear_weak,0.0,0.0018047820360316963,-0.0010864273568703675,0,0
burgers,32,0.2,4,linear_weak,0.0,2.915575334150322e-05,-1.762633375723688e-05,0,0
burgers,8,0.05,0,tv_weak,0.0,0.0007641183749943995,-0.0007489515930499957,0,0
burgers,8,0.05,1,tv_weak,0.0,0.0002837922973845,-0.00028227734303853946,0,0
burgers,8,0.05,2,tv_weak,0.0,-0.0004900038175935,0.0004883436586096135,1,0
burgers,8,0.05,3,tv_weak,0.0,-0.0006159558832618999,0.0006130750406042607,1,0
burgers,8,0.05,4,tv_weak,0.0,8.965801740990105e-05,-8.79440385580521e-05,0,0
burgers,8,0.1,0,tv_weak,0.0,-0.0012255902075943006,0.0012174338699136866,1,0
burgers,8,0.1,1,tv_weak,0.0,-0.0036615544652579,0.003612546154026175,1,0
burgers,8,0.1,2,tv_weak,0.0,0.0095364880542553,-0.009256611079132893,0,0
burgers,8,0.1,3,tv_weak,0.0,-0.0056361080714698985,0.005477856952298743,1,0
burgers,8,0.1,4,tv_weak,0.0,0.0010488203114324998,-0.0010430114415386216,0,0
burgers,8,0.2,0,tv_weak,0.0,-0.005510909063392101,0.005418527717532595,1,0
burgers,8,0.2,1,tv_weak,0.0,-0.0029499542130479,0.002826118738542549,1,0
burgers,8,0.2,2,tv_weak,0.0,0.007145331909965802,-0.006840847801516392,0,0
burgers,8,0.2,3,tv_weak,0.33333333333333337,-0.020277864846737097,0.3360473293423867,1,0
burgers,8,0.2,4,tv_weak,-0.19999999999999996,0.0416325964827459,-0.23026566708069507,0,0
burgers,32,0.05,0,tv_weak,0.0,0.0007653296936596006,-0.0007510579850282806,0,0
burgers,32,0.05,1,tv_weak,0.0,-0.00048611962640279956,0.0004766119820358572,1,0
burgers,32,0.05,2,tv_weak,0.0,-0.00011994849183029994,0.00011921446472662467,1,0
burgers,32,0.05,3,tv_weak,0.0,-0.00028179906052290017,0.00027505414915840465,1,0
burgers,32,0.05,4,tv_weak,0.0,-0.0010136283295279006,0.0010062304458171578,1,0
burgers,32,0.1,0,tv_weak,-0.33333333333333337,0.029340897711249998,-0.34455693460194114,0,0
burgers,32,0.1,1,tv_weak,-0.33333333333333337,0.03749655522574791,-0.351384504032082,0,0
burgers,32,0.1,2,tv_weak,0.0,0.007252121850528398,-0.004318966324273088,0,0
burgers,32,0.1,3,tv_weak,0.0,0.0098400580834868,-0.009549384222739543,0,0
burgers,32,0.1,4,tv_weak,0.0,0.004421609607943501,-0.0041968331763921896,0,0
burgers,32,0.2,0,tv_weak,0.0,0.002133929271614099,-0.0012858466419151116,0,0
