system,sparse_factor,noise,seed,method,feature,equation,coef,true_coef
burgers,8,0.05,1,pod_weak,u_x,0,0.0,0.0
burgers,8,0.05,1,pod_weak,u_xx,0,0.05186120645830772,0.05
burgers,8,0.05,1,raw_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,1,raw_weak,1,0,0.0,0.0
burgers,8,0.05,1,raw_weak,u,0,0.0,0.0
burgers,8,0.05,1,raw_weak,u*u_x,0,-1.0020898099773812,-1.0
burgers,8,0.05,1,raw_weak,u^2,0,0.0,0.0
burgers,8,0.05,1,raw_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,1,raw_weak,u_x,0,0.0,0.0
burgers,8,0.05,1,raw_weak,u_xx,0,0.05171576428316384,0.05
burgers,8,0.05,1,tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,1,tv_weak,1,0,0.0,0.0
burgers,8,0.05,1,tv_weak,u,0,0.0,0.0
burgers,8,0.05,1,tv_weak,u*u_x,0,-1.0018650547117427,-1.0
burgers,8,0.05,1,tv_weak,u^2,0,0.0,0.0
burgers,8,0.05,1,tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,1,tv_weak,u_x,0,0.0,0.0
burgers,8,0.05,1,tv_weak,u_xx,0,0.05172597281351565,0.05
burgers,8,0.05,2,edmd_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,2,edmd_weak,1,0,0.0,0.0
burgers,8,0.05,2,edmd_weak,u,0,0.0,0.0
burgers,8,0.05,2,edmd_weak,u*u_x,0,-1.001431920714874,-1.0
burgers,8,0.05,2,edmd_weak,u^2,0,0.0,0.0
burgers,8,0.05,2,edmd_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,2,edmd_weak,u_x,0,0.0,0.0
burgers,8,0.05,2,edmd_weak,u_xx,0,0.0502591761026097,0.05
burgers,8,0.05,2,linear_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,2,linear_weak,1,0,0.0,0.0
burgers,8,0.05,2,linear_weak,u,0,0.0,0.0
burgers,8,0.05,2,linear_weak,u*u_x,0,-1.001648921549776,-1.0
burgers,8,0.05,2,linear_weak,u^2,0,0.0,0.0
burgers,8,0.05,2,linear_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,2,linear_weak,u_x,0,0.0,0.0
burgers,8,0.05,2,linear_weak,u_xx,0,0.050111709968229466,0.05
burgers,8,0.05,2,pod_tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,2,pod_tv_weak,1,0,0.0,0.0
burgers,8,0.05,2,pod_tv_weak,u,0,0.0,0.0
burgers,8,0.05,2,pod_tv_weak,u*u_x,0,-1.002106738601518,-1.0
