system,method,method_label,band,support_f1_mean,coef_error_median,coef_error_mean,coef_error_max,derivative_error_median,state_error_median,exact_support_count,exact_support_rate,practical_score_mean,n_ok,n_seeds,support_f1_se,coef_error_se,practical_score_se
advection_diffusion,baseline,Raw FD,20–50%,0.4644444444444445,0.8661289539379835,0.8587157164083454,0.999423028373415,2.363002269332956,0.34553007249961776,0,0.0,0.25014042539893333,20,5,0.01837117307087383,0.005101266455357227,0.00945800499458248
advection_diffusion,baseline,Raw FD,5–10%,0.625,0.37856721499225926,0.3860343846299336,0.5648039346094912,0.5436174349785927,0.0738721013838418,0,0.0,0.45953196931324714,20,5,0.018633899812498227,0.002371351326459259,0.012013054927233037
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,20–50%,0.5316666666666666,0.7484408911742579,0.7293089948620612,0.9942041311632616,3.175858653460293,0.1828968807638065,0,0.0,0.31671901014332343,20,5,0.03181252956048979,0.015407591957499507,0.02168992139262103
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,5–10%,0.6288888888888888,0.11021952071317585,0.19228232625220074,0.68635708703342,0.6102927713446568,0.037610555425683756,0,0.0,0.5504038645411223,20,5,0.015555555555555555,0.02273745244002471,0.016170502581818846
advection_diffusion,pod_tv_diff,POD + TV differentiation,20–50%,0.5472222222222223,0.6681635177511378,0.593490299295043,0.8658713797682169,0.3962783040435677,0.1289266066618605,0,0.0,0.35584125120682863,20,5,0.018151454725227265,0.01899543930276229,0.010826194082343803
advection_diffusion,pod_tv_diff,POD + TV differentiation,5–10%,0.65,0.1062440345464442,0.1405466492955913,0.4076057837787337,0.12894168936906344,0.0310578483490811,0,0.0,0.5774762329076754,20,5,0.010206207261596573,0.008069670474875397,0.009944553691386861
advection_diffusion,tv_diff,TV differentiation,20–50%,0.4927777777777778,0.6733911893553085,0.6323812008678381,0.8963623410204395,0.4196064164166468,0.13364902272323442,0,0.0,0.3084215534124454,20,5,0.02705447180124653,0.024747270610806275,0.020793765423943164
advection_diffusion,tv_diff,TV differentiation,5–10%,0.65,0.14283331465054916,0.1922637695839339,0.5115281266068072,0.1810451196598607,0.0366887750415738,0,0.0,0.5550916062471267,20,5,0.010206207261596574,0.01077157509042902,0.009063516752753414
burgers,baseline,Raw FD,20–50%,0.4855555555555555,0.9621395354196034,0.9572170134573691,1.0342071444655443,3.5776961545568082,0.3447097246522739,0,0.0,0.2494483460705957,20,5,0.009145598685085738,0.004281226491140438,0.004805596765024162
burgers,baseline,Raw FD,5–10%,0.6583333333333333,0.5961995560364415,0.5921899436375375,0.7742068567282969,0.8262504103475651,0.07386973128390725,0,0.0,0.41725592735104067,20,5,0.00833333333333335,0.005042111012849423,0.0038904056423457157
burgers,pod_edmd_rbf,POD-EDMD-RBF,20–50%,0.49777777777777776,0.940888729291977,0.9254949777280383,1.0416770352678515,7.72308782130481,0.26385800282045485,0,0.0,0.2612153334364035,20,5,0.027741643163880864,0.010429471038015354,0.015741221737063344
burgers,pod_edmd_rbf,POD-EDMD-RBF,5–10%,0.6533333333333333,0.5141357482868671,0.5275965830660929,1.0666251701115428,1.789607556763913,0.057542967101508344,0,0.0,0.4386771757534046,20,5,0.013333333333333332,0.019647988364012565,0.010283735717468283
burgers,pod_tv_diff,POD + TV differentiation,20–50%,0.58,0.8526963810520711,0.8055108565370922,0.9837062455867548,0.6431155818446461,0.1354280338913045,0,0.0,0.32649347292001457,20,5,0.00935414346693485,0.008492895278637908,0.004565252135444542
burgers,pod_tv_diff,POD + TV differentiation,5–10%,0.6666666666666666,0.33879773035011573,0.36354557319709213,0.5725137660900844,0.2763676832990281,0.037472203922548894,0,0.0,0.49275108895913605,20,5,0.0,0.005027643217484157,0.0016351968210184566
burgers,tv_diff,TV differentiation,20–50%,0.5905555555555555,0.8492195875884753,0.8106593415319392,0.990449177115127,0.6213304088193932,0.1323441906901172,0,0.0,0.331562114567031,20,5,0.011934750588300458,0.009156176278463364,0.007999980667513246
burgers,tv_diff,TV differentiation,5–10%,0.6666666666666666,0.35469431636013443,0.3907850763876502,0.7428923472412688,0.288427036012747,0.03626188597763,0,0.0,0.48474717101831166,20,5,0.0,0.01200833730644913,0.0030799985121768778
fisher_kpp,baseline,Raw FD,20–50%,0.7644155844155844,0.0956265903055893,0.18219421289246046,0.8622532879135059,2.2693472140893376,0.1253673887311483,0,0.0,0.674671416278154,20,5,0.014575571788673462,0.04706552279754057,0.02910217898545138
fisher_kpp,baseline,Raw FD,5–10%,0.8,0.0413089046836424,0.04093211904243747,0.0618297054446674,0.5232186930786268,0.02716408805710335,0,0.0,0.7686346690695989,20,5,0.0,0.0012286168419532455,0.0009156345557076349
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,20–50%,0.75,0.1007482729860083,0.32488594616687977,1.3571523434414612,4.830345916811288,0.0933118074924078,0,0.0,0.6284143513850432,20,5,0.014672347384715831,0.05978524421625035,0.028391365484678223
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,5–10%,0.7771428571428572,0.0439141131195625,0.14196675734482272,0.8513231747433201,1.0112035100589678,0.01720183655848,0,0.0,0.7081527483599237,20,5,0.013997084244475311,0.0394609111706547,0.0225553045450654
fisher_kpp,pod_tv_diff,POD + TV differentiation,20–50%,0.7024242424242424,0.7870816036633311,0.5004647349345956,0.9773258690846685,0.1558511271760878,0.034400768155190956,0,0.0,0.530970964138938,20,5,0.013899812049914828,0.04624444992652036,0.022403979932343485
fisher_kpp,pod_tv_diff,POD + TV differentiation,5–10%,0.8,0.03042510673211785,0.031187009263619874,0.0432974355310781,0.06350673189632165,0.008602718677201651,0,0.0,0.7758451949059878,20,5,0.0,0.001562653241200667,0.0011730863493775987
fisher_kpp,tv_diff,TV differentiation,20–50%,0.7018181818181819,0.7584594298951077,0.5306151033947591,0.9767828435500407,0.1639752694543084,0.03437958618128815,0,0.0,0.5109955060549302,20,5,0.010077750998979337,0.03620279723248427,0.020916233206336482
fisher_kpp,tv_diff,TV differentiation,5–10%,0.7933333333333333,0.026627402150234798,0.06771975913369964,0.7949434126389817,0.0821130253995882,0.009395707895083,0,0.0,0.7568878257200267,20,5,0.0066666666666666645,0.037572163411629576,0.0197667953778558
lorenz63,baseline,Raw FD,20–50%,0.6130755879827088,1.0237342274213288,0.9903542501653014,1.3478692179160985,0.7807715778036537,0.18014083871955874,0,0.0,0.3134619155382423,20,5,0.025665875597870327,0.056548324099896116,0.01898860509310212
lorenz63,baseline,Raw FD,5–10%,0.6663639923887602,0.9984554617167096,0.8954981241470114,1.3778523197340118,0.606850216047817,0.0363069966281757,0,0.0,0.36176548921911195,20,5,0.01635624426417475,0.06424977888534644,0.017047705527017704
lorenz63,edmd_poly3,Polynomial EDMD,20–50%,0.5612307054963589,1.0172366756612734,1.0623450002436399,1.7987661794041925,0.9082448030811131,0.2903001162545451,0,0.0,0.2953434587965939,20,5,0.03742959097149395,0.0806731959237351,0.0362721018213315
lorenz63,edmd_poly3,Polynomial EDMD,5–10%,0.6524725454284278,0.9984148337481507,0.769569919882397,1.326998137810501,0.588556118182425,0.16283563453359715,0,0.0,0.4259687914617835,20,5,0.012034723360489505,0.07362701750617771,0.03282687920824318
lorenz63,tv_diff,TV differentiation,20–50%,0.5411596552144405,1.0008097617193914,9.348044311287675,95.59008542625038,0.7822292751143021,0.3391397271149629,0,0.0,0.25979788672003223,20,5,0.024136936136786538,5.209456087762274,0.027688781986689844
lorenz63,tv_diff,TV differentiation,5–10%,0.6176569898396524,1.0007958721999288,0.8845518602778121,1.3778938706077326,0.6361084256320002,0.2767495004073568,0,0.0,0.3389881458080244,20,5,0.013816751162305206,0.06344389422630038,0.015569217052044804
vanderpol_mu2,baseline,Raw FD,20–50%,0.8434920634920635,0.7392116343405701,0.648363905171654,0.9040088542159564,0.9511596872098245,0.34572779761976974,8,0.4,0.5339050028176163,20,5,0.017350665792025273,0.029609156633803535,0.01908487226995323
vanderpol_mu2,baseline,Raw FD,5–10%,0.9857142857142858,0.21607442939953025,0.22090018262569808,0.4855997189693821,0.3633419755751972,0.0728062328949377,18,0.9,0.8222687450305534,20,5,0.008748177652797048,0.012667439307448543,0.011834839948137669
