system,method,method_label,noise,sparse_factor,support_f1_mean,coef_error_median,coef_error_mean,coef_error_max,derivative_error_median,state_error_median,exact_support_count,exact_support_rate,practical_score_mean,n_ok,n_seeds,support_f1_se,coef_error_se,practical_score_se
advection_diffusion,baseline,Raw FD,0.05,4,0.6666666666666666,0.2257049909564266,0.2262152325143953,0.2387183254216362,0.7154445028902048,0.0495929585168016,0,0.0,0.5437183125899473,5,5,0.0,0.005245888315878661,0.002335729302981622
advection_diffusion,baseline,Raw FD,0.05,16,0.6666666666666666,0.2472525319317461,0.24114275250131995,0.252258163116135,0.1816793188677992,0.0500583030277658,0,0.0,0.5371810220006202,5,5,0.0,0.005450627290418098,0.002369733801044594
advection_diffusion,baseline,Raw FD,0.1,4,0.5666666666666667,0.5316420179800541,0.5314327259391766,0.555673732664222,1.45611178474864,0.1001410802104269,0,0.0,0.369423700052727,5,5,0.040824829046386284,0.010660625996134706,0.024213662646012234
advection_diffusion,baseline,Raw FD,0.1,16,0.6,0.5444093298250772,0.5453468275648427,0.5648039346094912,0.3740398467598408,0.1017772973145843,0,0.0,0.3878048426096942,5,5,0.0408248290463863,0.009670847798944837,0.024663887139191727
advection_diffusion,baseline,Raw FD,0.2,4,0.4488888888888889,0.7447837181826363,0.7484231835199234,0.814898870094013,2.935008033931996,0.2032182091277011,0,0.0,0.25675554256280975,5,5,0.02238826853289987,0.018767491294602555,0.012572375877401227
advection_diffusion,baseline,Raw FD,0.2,16,0.4288888888888889,0.7625603119167214,0.7697250643041572,0.8093204114644971,0.7378230126794442,0.2054644352969718,0,0.0,0.24264225339859619,5,5,0.019751543149590187,0.012295444748329543,0.012656505748472158
advection_diffusion,baseline,Raw FD,0.5,4,0.4,0.9701079536965076,0.9695286799176459,0.999423028373415,7.147369301365661,0.4970021709935046,0,0.0,0.20314154418997704,5,5,0.0,0.014941029850376287,0.001557879840643457
advection_diffusion,baseline,Raw FD,0.5,16,0.58,0.9411484000537956,0.9471859378916546,0.9651186715684752,1.7935602766261665,0.4904017897986876,0,0.0,0.2980223614443504,5,5,0.05537749241945382,0.00596526665137859,0.028723258745511106
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.05,4,0.6666666666666666,0.039576791496349,0.03886125222042512,0.043202160155031,0.6600438009867449,0.0194382977045996,0,0.0,0.6417365270691358,5,5,0.0,0.0018565504619456783,0.00115072100282511
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.05,16,0.6666666666666666,0.0983353760821582,0.10460222634845384,0.1248575355077877,0.1995838763063886,0.0330452410844316,0,0.0,0.6036460911609375,5,5,0.0,0.0074906358237325,0.004076816668753465
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.1,4,0.6666666666666666,0.1141878581902518,0.11046773463715598,0.123810271238793,1.3397300403865808,0.0400972487349432,0,0.0,0.600429673749191,5,5,0.0,0.006459983483217363,0.003526203903828231
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.1,16,0.5155555555555555,0.6322835028599302,0.5151980918027681,0.68635708703342,0.5889420630038116,0.0752368067760449,0,0.0,0.355803166185225,5,5,0.06222222222222222,0.09084338121663753,0.06530388765942427
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.2,4,0.6133333333333333,0.4737985707362009,0.47454399168020156,0.7108937202333542,3.890061570681856,0.0955716976360676,0,0.0,0.4244002387622386,5,5,0.05333333333333333,0.06613392646584466,0.04871250091950247
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.2,16,0.5599999999999999,0.6830924826371567,0.6754199778777991,0.6960389555575056,1.0596164817631988,0.1466326288317126,0,0.0,0.33431777984990074,5,5,0.06531972647421806,0.009850513106754917,0.03910171388510716
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.5,4,0.4822222222222222,0.808141574591923,0.8432894524849038,0.9231377166734014,10.011395944930408,0.2418664000432929,0,0.0,0.26289672284253185,5,5,0.04964068423041927,0.030227957878639026,0.03005406032707298
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.5,16,0.47111111111111115,0.907398053463466,0.9239825574053405,0.9942041311632616,3.0683115738382885,0.3535806445673994,0,0.0,0.24526129911862257,5,5,0.04988876515698588,0.018552363852134348,0.027083678074306464
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.05,4,0.6666666666666666,0.0377283949985595,0.03637506861327202,0.0386439786918075,0.1024023326868891,0.0159966669017398,0,0.0,0.6432717939400989,5,5,0.0,0.0012960773258690337,0.000806842315691818
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.05,16,0.6666666666666666,0.1051471440188795,0.10837613007729555,0.125609902674457,0.1076264108981595,0.0310092011519165,0,0.0,0.6015659613358969,5,5,0.0,0.006606591047536254,0.0035831149332075617
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.1,4,0.6666666666666666,0.1073409250740089,0.10254582551916544,0.1115125709577615,0.1661438428896202,0.0319253876102874,0,0.0,0.6046957745099689,5,5,0.0,0.0041632232488134375,0.0022900184567691104
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.1,16,0.6,0.2979276275976941,0.31488957297263226,0.4076057837787337,0.2049906726260533,0.0601728124855194,0,0.0,0.46037140184473646,5,5,0.040824829046386304,0.03434598148201345,0.04142719906548562
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.2,4,0.6666666666666666,0.297757168335386,0.28085180243927954,0.30809283890665,0.2406369344200005,0.0589087578140972,0,0.0,0.5207274659962666,5,5,0.0,0.013696681556300945,0.005622871814600714
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.2,16,0.5022222222222222,0.5793121047547062,0.6251533325804608,0.7340768735234494,0.3361858964833145,0.1136416338788655,0,0.0,0.31157727265305457,5,5,0.04518822090591722,0.04292348893847159,0.03305320309894455
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.5,4,0.5466666666666666,0.6840904476344011,0.6593932950263058,0.7253246899320785,0.4656573842253297,0.1432164209306141,0,0.0,0.3301342122254034,5,5,0.05228129047119373,0.031189625536745424,0.03209152549113678
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.5,16,0.47333333333333333,0.8056031291991436,0.8085627671341257,0.8658713797682169,0.5432334532443822,0.2272552323884162,0,0.0,0.26092605395258983,5,5,0.052068331172711015,0.018831402088162686,0.02626248336234439
advection_diffusion,tv_diff,TV differentiation,0.05,4,0.6666666666666666,0.0549987916693003,0.05493567991266578,0.0575874413730429,0.1518019737216695,0.0205447821871775,0,0.0,0.6319528267213882,5,5,0.0,0.0011026761973583266,0.0006616333239243453
advection_diffusion,tv_diff,TV differentiation,0.05,16,0.6666666666666666,0.1733855448448362,0.16740105008289544,0.1788911715741103,0.1442041690478826,0.0389665073777805,0,0.0,0.5711180559279994,5,5,0.0,0.005395791057075559,0.002647981254996325
advection_diffusion,tv_diff,TV differentiation,0.1,4,0.6666666666666666,0.1256241687868804,0.12170726905278437,0.1320617647552386,0.2021778862873828,0.0351610909848814,0,0.0,0.5943700015294713,5,5,0.0,0.00446831099873145,0.00237703100265608
advection_diffusion,tv_diff,TV differentiation,0.1,16,0.6,0.4576007645163025,0.42501107928739,0.5115281266068072,0.2935601190834412,0.08404848175568,0,0.0,0.4229255408096481,5,5,0.0408248290463863,0.04007892637071475,0.032953463772241454
advection_diffusion,tv_diff,TV differentiation,0.2,4,0.5466666666666666,0.3479362638718655,0.41510497383766926,0.6724741049194091,0.2900683441786749,0.062470332477156,0,0.0,0.39377497802195904,5,5,0.052281290471193724,0.06470708850235636,0.04846599429870045
advection_diffusion,tv_diff,TV differentiation,0.2,16,0.5133333333333333,0.609332614637556,0.6089595843994355,0.7074673943985139,0.3929817587171713,0.1207140303236895,0,0.0,0.3199949047040759,5,5,0.04294699575575041,0.028396420536991256,0.028108462765378366
advection_diffusion,tv_diff,TV differentiation,0.5,4,0.4377777777777778,0.68741970210793,0.6726204724461367,0.7247956324223941,0.4418623632276607,0.1418964930281522,0,0.0,0.2626489298306335,5,5,0.018459164139817942,0.025646383625917722,0.015328347877142918
advection_diffusion,tv_diff,TV differentiation,0.5,16,0.47333333333333333,0.8354516056665023,0.8328397727881107,0.8963623410204395,0.5638333162920608,0.232315464799517,0,0.0,0.25726740109311325,5,5,0.052068331172711015,0.02719107296733952,0.02538509874516431
burgers,baseline,Raw FD,0.05,8,0.6666666666666666,0.4510842907490324,0.4481932001938791,0.4622797912254265,1.0976892940874443,0.0492382589695734,0,0.0,0.4603659116531434,5,5,0.0,0.005024874761926929,0.001597882217039108
burgers,baseline,Raw FD,0.05,32,0.6666666666666666,0.4484452784559711,0.4537997306205931,0.4797427986309519,0.2771095126636069,0.0493833731621085,0,0.0,0.4586540571100248,5,5,0.0,0.0099303571069951,0.0031339508325967796
burgers,baseline,Raw FD,0.1,8,0.6333333333333333,0.7181858342017952,0.7228473661584273,0.7433358736178978,2.272652698798619,0.1012438393610877,0,0.0,0.367646618011497,5,5,0.03333333333333334,0.0054997045020925535,0.01947987620356144
burgers,baseline,Raw FD,0.1,32,0.6666666666666666,0.7428923472412688,0.7439194775772509,0.7742068567282969,0.5559389155432384,0.1002294551130683,0,0.0,0.3823571226294974,5,5,0.0,0.012332057356320482,0.0027037515067073943
burgers,baseline,Raw FD,0.2,8,0.6333333333333333,0.8947616954582663,0.8910220906949002,0.9085357514464354,4.45082335028617,0.1994150346165919,0,0.0,0.3350940996849444,5,5,0.033333333333333326,0.006450780033334188,0.018300013393908472
burgers,baseline,Raw FD,0.2,32,0.5,0.9288184954347992,0.9325036325501423,0.9510378076961972,1.134131955718489,0.2019050164185248,0,0.0,0.25873842698395605,5,5,0.0,0.0049311020070217995,0.0006565524608329327
burgers,baseline,Raw FD,0.5,8,0.4,1.000367622467685,1.001187309528629,1.0342071444655443,11.141737542741282,0.4979495123210857,0,0.0,0.19990013256216993,5,5,0.0,0.009719201177071354,0.0009674380815824622
burgers,baseline,Raw FD,0.5,32,0.40888888888888886,1.0077799166215191,1.0041550210558048,1.0153339835497486,2.71549536759484,0.4956560942413462,0,0.0,0.2040607250513125,5,5,0.008888888888888875,0.005490289656753821,0.004867681001144675
