system,method,sparse_factor,noise,seed,fold,lam,cv_mse,solver_primal_objective,solver_dual_objective,solver_primal_dual_gap,solver_relative_primal_dual_gap,solver_max_relative_gap,solver_kkt_stationarity_max,solver_kkt_complementarity_gap,solver_kkt_subgradient_prox_max,solver_masked_dual_stationarity_max,solver_dual_box_violation,solver_dual_scale_min,solver_converged,solver_iterations,solver_rho,solver_tolerance,solver_method,solver_elapsed_seconds,solver_n_observed,solver_n_times,solver_n_channels,solver_objective
lorenz63,tv_diff,16,0.05,1,1,0.0001,0.04843544073065909,"[0.002995644078277722, 0.004472684331499385, 0.005043937866779484]","[0.002995642768805163, 0.0044725780734847, 0.005037792115007262]","[1.3094725590315215e-09, 1.0625801468485546e-07, 6.145751772222534e-06]","[1.3094725590315215e-09, 1.0625801468485546e-07, 6.145751772222534e-06]",6.145751772222534e-06,3.499365911341498e-07,"[1.3094725594652024e-09, 1.0625801411152935e-07, 6.145750846886337e-06]",8.434539572332866e-06,2.710505431213761e-20,0.0,0.9988334362743946,True,125,0.04,1e-05,banded ADMM with dual certificate,0.0061965260001670686,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,1,0.001,0.050350658549448916,"[0.029866443977753485, 0.04463954496261226, 0.05037817102790824]","[0.029866022440002346, 0.044638728306160044, 0.05037765337848992]","[4.21537751139206e-07, 8.166564522127384e-07, 5.176494183162239e-07]","[4.21537751139206e-07, 8.166564522127384e-07, 5.176494183162239e-07]",8.166564522127384e-07,5.618670555120747e-08,"[4.215377306035495e-07, 8.166564182052194e-07, 5.176494101283291e-07]",2.2652633768771577e-07,4.336808689942018e-19,0.0,0.9999812711831274,True,75,0.0504,1e-05,banded ADMM with dual certificate,0.0037095750003572903,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,1,0.01,0.05506604498463577,"[0.28993849770612107, 0.4380242991880309, 0.49787346881444594]","[0.2899383694118588, 0.4380231139032526, 0.4978723227609842]","[1.2829426226934615e-07, 1.1852847782711784e-06, 1.1460534617424578e-06]","[1.2829426226934615e-07, 1.1852847782711784e-06, 1.1460534617424578e-06]",1.1852847782711784e-06,8.064869562104948e-08,"[1.28294260381967e-07, 1.1852847150439771e-06, 1.1460534261042987e-06]",2.5167877581999676e-07,3.469446951953614e-18,0.0,0.9999973117104509,True,75,0.126,1e-05,banded ADMM with dual certificate,0.003598926999984542,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,1,0.1,0.10508622304814023,"[2.413097320278067, 3.6704629519622682, 4.466725816554354]","[2.413097319868279, 3.6704629425453423, 4.466710227492489]","[4.097877592812438e-10, 9.416925905725293e-09, 1.5589061865384224e-05]","[1.6981816515963103e-10, 2.5655962283152604e-09, 3.490042260397723e-06]",3.490042260397723e-06,1.0324930849181513e-06,"[4.0978642701361423e-10, 9.416925017546873e-09, 1.558905452192505e-05]",8.775918611814149e-07,2.7755575615628914e-17,0.0,0.9999960633856607,True,150,1.2600000000000002,1e-05,banded ADMM with dual certificate,0.006981199000165361,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,1,1.0,0.3252039847809448,"[13.177742855223102, 17.224862835237666, 27.80253062339696]","[13.177740866389506, 17.224765664582954, 27.802466819811066]","[1.9888335955897674e-06, 9.717065471193109e-05, 6.38035858955277e-05]","[1.5092369136657402e-07, 5.641302089973383e-06, 2.2948841153989914e-06]",5.641302089973383e-06,1.179166508036289e-05,"[1.9888331088679934e-06, 9.716958679639731e-05, 6.380337684674942e-05]",1.821774759558359e-05,2.220446049250313e-16,0.0,0.9999888022277952,True,200,6.3,1e-05,banded ADMM with dual certificate,0.008907324000119843,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,1,10.0,0.7987216446997387,"[31.647349951067092, 32.012314002418314, 42.45564094940802]","[31.647349916092132, 32.01231400211728, 42.45522865813223]","[3.497495981719112e-08, 3.0103564085948165e-10, 0.00041229127579356373]","[1.105146556386843e-09, 9.403745097487812e-12, 9.71110708904072e-06]",9.71110708904072e-06,9.137787859714308e-09,"[3.497496425808322e-08, 3.0105606896313475e-10, 0.0004122912758184605]",4.122210246038094e-06,3.552713678800501e-15,0.0,0.9999999949336517,True,925,63.0,1e-05,banded ADMM with dual certificate,0.038593447000039305,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,1,100.0,1.0713832585365148,"[42.0535970278744, 41.64190558294664, 42.49905945068702]","[42.053596638875725, 41.64153068691921, 42.4989017559995]","[3.889986786020927e-07, 0.0003748960274307933, 0.00015769468752324656]","[9.250069104534686e-09, 9.002854748902802e-06, 3.7105453523324347e-06]",9.002854748902802e-06,7.662639411876171e-10,"[3.889986686100855e-07, 0.00037489602744017394, 0.00015769468750119367]",6.241027961095824e-08,2.842170943040401e-14,0.0,0.9999999996500626,True,1575,1260.0,1e-05,banded ADMM with dual certificate,0.06470990600018922,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,1,1000.0,1.0728896220914537,"[42.059637838392085, 41.641530721393174, 42.49890176137134]","[42.059637838390806, 41.641530721391646, 42.49890176137127]","[1.2789769243681803e-12, 1.5276668818842154e-12, 7.105427357601002e-14]","[3.040865281062237e-14, 3.668613654251145e-14, 1.6719084642463302e-15]",3.668613654251145e-14,7.205347429817266e-14,"[1.250159840214659e-12, 1.537733307690285e-12, 5.140125393996095e-14]",5.551115123125783e-17,2.1316282072803006e-14,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.0003262420000282873,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,2,0.0,0.08399524605454742,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,True,0,0.0,1e-05,zero-penalty interpolation,0.0003257109997321095,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,2,0.0001,0.040305131762336605,"[0.003158545310424163, 0.004258778576744865, 0.005396960149725472]","[0.00315854109173995, 0.004258747541192735, 0.005394257372141912]","[4.218684213162099e-09, 3.103555212997933e-08, 2.7027775835594334e-06]","[4.218684213162099e-09, 3.103555212997933e-08, 2.7027775835594334e-06]",2.7027775835594334e-06,1.5955776830724536e-07,"[4.218684211427376e-09, 3.103555206666192e-08, 2.7027773404266625e-06]",4.654032008311049e-05,2.710505431213761e-20,0.0,0.9994683055791426,True,125,0.02,1e-05,banded ADMM with dual certificate,0.005993741000111186,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
