system,method,method_label,noise,support_f1_mean,coef_error_median,coef_error_mean,coef_error_max,derivative_error_median,state_error_median,exact_support_count,exact_support_rate,practical_score_mean,n_ok,n_seeds,support_f1_se,coef_error_se,practical_score_se
advection_diffusion,baseline,Raw FD,0.05,0.6666666666666666,0.23369461616848547,0.23367899250785765,0.252258163116135,0.4475010962789221,0.04995573654661825,0,0.0,0.5404496672952838,10,5,0.0,0.004740443681449397,0.0020822274983799236
advection_diffusion,baseline,Raw FD,0.1,0.5833333333333333,0.5433373088904359,0.5383897767520096,0.5648039346094912,0.8845526589181569,0.10014511944613355,0,0.0,0.3786142713312106,10,5,0.03726779962499648,0.007135638388731505,0.022527596850207634
advection_diffusion,baseline,Raw FD,0.2,0.43888888888888894,0.7582973789141286,0.7590741239120404,0.814898870094013,1.7892702022683078,0.20385057095154896,0,0.0,0.24969889798070297,10,5,0.01254621087848468,0.009476013576407772,0.006794288875584666
advection_diffusion,baseline,Raw FD,0.5,0.49000000000000005,0.96016847518757,0.9583573089046503,0.999423028373415,4.487697405617969,0.4962897060752731,0,0.0,0.2505819528171637,10,5,0.027688746209726906,0.00636426785091476,0.013945209433001851
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.05,0.6666666666666666,0.06575801754540965,0.07173173928443947,0.1248575355077877,0.4399014088996417,0.031796928771586255,0,0.0,0.6226913091150366,10,5,0.0,0.004201760359276265,0.0023309387421476444
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.1,0.591111111111111,0.19947958874174876,0.312832913219962,0.68635708703342,1.2550195066371637,0.0536682194989678,0,0.0,0.478116419967208,10,5,0.031111111111111096,0.04515466698877606,0.03234351821216347
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.2,0.5866666666666667,0.6524316891745418,0.5749819847790003,0.7108937202333542,1.9758658476260385,0.12233630897947854,0,0.0,0.3793590093060697,10,5,0.05333333333333333,0.03675552559854374,0.037840951597968756
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.5,0.4766666666666667,0.9021301089972226,0.8836360049451223,0.9942041311632616,7.11725036192224,0.3318816590333469,0,0.0,0.25407901098057717,10,5,0.028349668493717943,0.010873409883509714,0.015134680115702391
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.05,0.6666666666666666,0.06458535528078341,0.07237559934528379,0.125609902674457,0.10351261351095464,0.0241409328237604,0,0.0,0.6224188776379979,10,5,0.0,0.0038637078700478416,0.0021428349493468244
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.1,0.6333333333333333,0.15985479226426821,0.20871769924589884,0.4076057837787337,0.171747294286618,0.04234043987034185,0,0.0,0.5325335881773527,10,5,0.020412414523193152,0.01663465722889621,0.020330345525356248
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.2,0.5844444444444444,0.412004038712353,0.45300256750987017,0.7340768735234494,0.2913997438020466,0.0829920203548623,0,0.0,0.4161523693246606,10,5,0.022594110452958602,0.022157862867163144,0.015957125448757544
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.5,0.51,0.7403846297525956,0.7339780310802159,0.8658713797682169,0.5225501706833846,0.17620963434470843,0,0.0,0.2955301330889966,10,5,0.030550504633038926,0.01778991639140132,0.016971112703202458
advection_diffusion,tv_diff,TV differentiation,0.05,0.6666666666666666,0.1055961529594513,0.1111683649977806,0.1788911715741103,0.15122084803819294,0.029458908060846098,0,0.0,0.6015354413246937,10,5,0.0,0.0030788739179290073,0.001556201212904888
advection_diffusion,tv_diff,TV differentiation,0.1,0.6333333333333333,0.215355921477989,0.2733591741700872,0.5115281266068072,0.20597205242250755,0.04605584239075055,0,0.0,0.5086477711695597,10,5,0.020412414523193156,0.02026031468931098,0.01701364222140399
advection_diffusion,tv_diff,TV differentiation,0.2,0.53,0.5537145381792932,0.5120322791185524,0.7074673943985139,0.33748609002663876,0.08914478341575399,0,0.0,0.35688494136301746,10,5,0.036285901761795386,0.04561732097133034,0.03257858146072556
advection_diffusion,tv_diff,TV differentiation,0.5,0.45555555555555555,0.7383772169058659,0.7527301226171237,0.8963623410204395,0.5504908514473701,0.1962809454800109,0,0.0,0.2599581654618734,10,5,0.031031644541708755,0.010462345267560683,0.016650205533773173
burgers,baseline,Raw FD,0.05,0.6666666666666666,0.44976478460250174,0.4509964654072361,0.4797427986309519,0.6927005100710926,0.04931081606584095,0,0.0,0.45950998438158414,10,5,0.0,0.005548579502291081,0.001757269289333451
burgers,baseline,Raw FD,0.1,0.65,0.7229276302501811,0.733383421867839,0.7742068567282969,1.3955892302047466,0.10047264507607134,0,0.0,0.3750018703204972,10,5,0.016666666666666666,0.006518379575842779,0.009189373334609417
burgers,baseline,Raw FD,0.2,0.5666666666666667,0.9159755256584239,0.9117628616225213,0.9510378076961972,2.7875808709143275,0.1996061533856486,0,0.0,0.2969162633344502,10,5,0.01666666666666666,0.004724077031888482,0.009180511061076035
burgers,baseline,Raw FD,0.5,0.40444444444444444,1.0007291897290158,1.0026711652922171,1.0342071444655443,6.840259421569312,0.4966520289641661,0,0.0,0.20198042880674122,10,5,0.00444444444444443,0.0070021317093043175,0.002560661858230231
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.05,0.6666666666666666,0.33822239182643965,0.3386961194628063,0.4643523382328587,1.2615424221278015,0.036947310000470746,0,0.0,0.4994024540007181,10,5,0.0,0.008763559962805544,0.0029856746667362623
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.1,0.6399999999999999,0.7058394406438265,0.7164970466693794,1.0666251701115428,3.5341138015794016,0.08693532861096476,0,0.0,0.37795189750609104,10,5,0.026666666666666665,0.03771058844529486,0.020130995223743127
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.2,0.5511111111111111,0.8569669733139713,0.8573991813148403,0.9626978448123412,5.187375678818755,0.16150580962200872,0,0.0,0.29843964596115297,10,5,0.034309772570321126,0.010620555666041628,0.018482784774579337
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.5,0.4444444444444445,1.009780263964348,0.9935907741412366,1.0416770352678515,15.36191487087827,0.4432499223669924,0,0.0,0.2239910209116541,10,5,0.023306863292670024,0.016833467420368887,0.01406973071655547
burgers,pod_tv_diff,POD + TV differentiation,0.05,0.6666666666666666,0.2799236368283584,0.2920288098723153,0.4005038896245465,0.229812925306913,0.029077110032850698,0,0.0,0.5179705477880155,10,5,0.0,0.00612594559382351,0.002258390578199099
burgers,pod_tv_diff,POD + TV differentiation,0.1,0.6666666666666666,0.4142952709123848,0.435062336521869,0.5725137660900844,0.32535069594334887,0.048824135660002446,0,0.0,0.46753163013025656,10,5,0.0,0.005274382070624567,0.0013499922984335337
burgers,pod_tv_diff,POD + TV differentiation,0.2,0.65,0.6706033328404637,0.6976715067415116,0.8701937487181974,0.4983678024077283,0.08547491151355541,0,0.0,0.38484750917451793,10,5,0.016666666666666677,0.015393387820393517,0.0071034534948490515
burgers,pod_tv_diff,POD + TV differentiation,0.5,0.51,0.9089700511815888,0.9133502063326728,0.9837062455867548,0.7313928345821472,0.1797955380181171,0,0.0,0.26813943666551127,10,5,0.02614064523559685,0.004687489718121571,0.014340466185378953
burgers,tv_diff,TV differentiation,0.05,0.6666666666666666,0.29638923733445394,0.3089870722348143,0.4290521860236241,0.2276456834352921,0.0284234775884242,0,0.0,0.5116527399459322,10,5,0.0,0.0055764540082516075,0.0018710298029243142
burgers,tv_diff,TV differentiation,0.1,0.6666666666666666,0.4381053156690603,0.47258308054048614,0.7428923472412688,0.3151275645083379,0.046199654419563,0,0.0,0.45784160209069097,10,5,0.0,0.024998110660227016,0.006458174065514771
burgers,tv_diff,TV differentiation,0.2,0.65,0.6813177666967439,0.7099677587067433,0.9334981219489634,0.5245897477343311,0.09159241327589149,0,0.0,0.38342603655572993,10,5,0.01666666666666668,0.0170165947830816,0.011437752820306294
burgers,tv_diff,TV differentiation,0.5,0.5311111111111111,0.9005231252066819,0.911350924357135,0.990449177115127,0.7081885266903463,0.17750807200489577,0,0.0,0.27969819257833206,10,5,0.017620835030170773,0.006182832137846616,0.010117527381882067
fisher_kpp,baseline,Raw FD,0.05,0.8,0.0413089046836424,0.042712249986667936,0.05900928632082,0.4342067978880818,0.01771806512545305,0,0.0,0.7673138735117269,10,5,0.0,0.002344698124983145,0.0017234487209505987
fisher_kpp,baseline,Raw FD,0.1,0.8,0.036524095266369704,0.03915198809820701,0.0618297054446674,0.8825704184023933,0.03616905437090935,0,0.0,0.7699554646274709,10,5,0.0,0.0028794482073147293,0.0021276272882593075
fisher_kpp,baseline,Raw FD,0.2,0.7771428571428572,0.0496025943340574,0.11543297695449176,0.6066039100381851,1.7631898366523435,0.07190589987087184,0,0.0,0.7151057494974957,10,5,0.022857142857142864,0.05481042258089329,0.04007714897558898
fisher_kpp,baseline,Raw FD,0.5,0.7516883116883117,0.1437842548419469,0.24895544883042917,0.8622532879135059,4.328471963546887,0.18033027949331545,0,0.0,0.6342370830588122,10,5,0.029655923067412132,0.089151610256095,0.05392545087128341
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,0.05,0.8,0.04172928794413845,0.041743846632843064,0.0591148586532526,0.7946409179140568,0.011828437332054801,0,0.0,0.7680201385943938,10,5,0.0,0.0031236400418612727,0.0023000857854344526
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,0.1,0.7542857142857142,0.052659706602062706,0.2421896680568024,0.8513231747433201,1.7683743268077565,0.0254604760090925,0,0.0,0.6482853581254536,10,5,0.02799416848895062,0.07738890993846723,0.044506650326049675
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,0.2,0.7866666666666667,0.08048862733687585,0.0859044548895285,0.2119540177438077,3.121825700426367,0.05885949339045085,0,0.0,0.7268629566409804,10,5,0.013333333333333341,0.0180615990592091,0.020216980939970906
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,0.5,0.7133333333333334,0.36938918224521367,0.563867437444231,1.3571523434414612,10.902868789850135,0.1290339800706314,0,0.0,0.5299657461291061,10,5,0.028577380332470412,0.11421882478372203,0.049075809431020766
fisher_kpp,pod_tv_diff,POD + TV differentiation,0.05,0.8,0.0362980718306081,0.03346662024895615,0.0412598138151395,0.051776027205639896,0.0063795057377716,0,0.0,0.7741237174794162,10,5,0.0,0.0015506608602645334,0.001169151031304313
fisher_kpp,pod_tv_diff,POD + TV differentiation,0.1,0.8,0.02469318462615275,0.028907398278283602,0.0432974355310781,0.08513604560939125,0.01238597406781565,0,0.0,0.7775666723325593,10,5,0.0,0.0017632085121464301,0.001318576939367242
