system,method,method_label,support_f1_mean,coef_error_median,coef_error_mean,coef_error_max,derivative_error_median,state_error_median,exact_support_count,exact_support_rate,practical_score_mean,n_ok,n_seeds,support_f1_se,coef_error_se,practical_score_se
advection_diffusion,baseline,Raw FD,0.4644444444444445,0.8661289539379835,0.8587157164083454,0.999423028373415,2.363002269332956,0.34553007249961776,0,0.0,0.25014042539893333,20,5,0.01837117307087383,0.005101266455357227,0.00945800499458248
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.5316666666666666,0.7484408911742579,0.7293089948620612,0.9942041311632616,3.175858653460293,0.1828968807638065,0,0.0,0.31671901014332343,20,5,0.03181252956048979,0.015407591957499507,0.02168992139262103
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.5472222222222223,0.6681635177511378,0.593490299295043,0.8658713797682169,0.3962783040435677,0.1289266066618605,0,0.0,0.35584125120682863,20,5,0.018151454725227265,0.01899543930276229,0.010826194082343803
advection_diffusion,tv_diff,TV differentiation,0.4927777777777778,0.6733911893553085,0.6323812008678381,0.8963623410204395,0.4196064164166468,0.13364902272323442,0,0.0,0.3084215534124454,20,5,0.02705447180124653,0.024747270610806275,0.020793765423943164
burgers,baseline,Raw FD,0.4855555555555555,0.9621395354196034,0.9572170134573691,1.0342071444655443,3.5776961545568082,0.3447097246522739,0,0.0,0.2494483460705957,20,5,0.009145598685085738,0.004281226491140438,0.004805596765024162
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.49777777777777776,0.940888729291977,0.9254949777280383,1.0416770352678515,7.72308782130481,0.26385800282045485,0,0.0,0.2612153334364035,20,5,0.027741643163880864,0.010429471038015354,0.015741221737063344
burgers,pod_tv_diff,POD + TV differentiation,0.58,0.8526963810520711,0.8055108565370922,0.9837062455867548,0.6431155818446461,0.1354280338913045,0,0.0,0.32649347292001457,20,5,0.00935414346693485,0.008492895278637908,0.004565252135444542
burgers,tv_diff,TV differentiation,0.5905555555555555,0.8492195875884753,0.8106593415319392,0.990449177115127,0.6213304088193932,0.1323441906901172,0,0.0,0.331562114567031,20,5,0.011934750588300458,0.009156176278463364,0.007999980667513246
fisher_kpp,baseline,Raw FD,0.7644155844155844,0.0956265903055893,0.18219421289246046,0.8622532879135059,2.2693472140893376,0.1253673887311483,0,0.0,0.674671416278154,20,5,0.014575571788673462,0.04706552279754057,0.02910217898545138
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,0.75,0.1007482729860083,0.32488594616687977,1.3571523434414612,4.830345916811288,0.0933118074924078,0,0.0,0.6284143513850432,20,5,0.014672347384715831,0.05978524421625035,0.028391365484678223
fisher_kpp,pod_tv_diff,POD + TV differentiation,0.7024242424242424,0.7870816036633311,0.5004647349345956,0.9773258690846685,0.1558511271760878,0.034400768155190956,0,0.0,0.530970964138938,20,5,0.013899812049914828,0.04624444992652036,0.022403979932343485
fisher_kpp,tv_diff,TV differentiation,0.7018181818181819,0.7584594298951077,0.5306151033947591,0.9767828435500407,0.1639752694543084,0.03437958618128815,0,0.0,0.5109955060549302,20,5,0.010077750998979337,0.03620279723248427,0.020916233206336482
lorenz63,baseline,Raw FD,0.6130755879827088,1.0237342274213288,0.9903542501653014,1.3478692179160985,0.7807715778036537,0.18014083871955874,0,0.0,0.3134619155382423,20,5,0.025665875597870327,0.056548324099896116,0.01898860509310212
lorenz63,edmd_poly3,Polynomial EDMD,0.5612307054963589,1.0172366756612734,1.0623450002436399,1.7987661794041925,0.9082448030811131,0.2903001162545451,0,0.0,0.2953434587965939,20,5,0.03742959097149395,0.0806731959237351,0.0362721018213315
lorenz63,tv_diff,TV differentiation,0.5411596552144405,1.0008097617193914,9.348044311287675,95.59008542625038,0.7822292751143021,0.3391397271149629,0,0.0,0.25979788672003223,20,5,0.024136936136786538,5.209456087762274,0.027688781986689844
vanderpol_mu2,baseline,Raw FD,0.8434920634920635,0.7392116343405701,0.648363905171654,0.9040088542159564,0.9511596872098245,0.34572779761976974,8,0.4,0.5339050028176163,20,5,0.017350665792025273,0.029609156633803535,0.01908487226995323
vanderpol_mu2,edmd_poly3,Polynomial EDMD,0.668054325537163,0.8248911886659552,0.8085150330100441,2.851061565976486,2.883534791970777,0.31077509191198716,5,0.25,0.46461910574300325,20,5,0.030922509962192892,0.10161316831505586,0.02708964421046923
vanderpol_mu2,tv_diff,TV differentiation,0.9013492063492065,0.43155969958974505,0.4705789154545476,0.9002791177123285,0.4783913390969948,0.1874454174648218,12,0.6,0.6382706374571043,20,5,0.01626759082384027,0.016847584797629423,0.01877466620064514
