system,method,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,edmd_poly3,16,0.05,1,x*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*y,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*y,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*y,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,z*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,z*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,z*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*x*x,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*x*x,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*x*x,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*x*y,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*x*y,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*x*y,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*x*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*x*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*x*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*y*y,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*y*y,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*y*y,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*y*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*y*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*y*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*z*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*z*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,x*z*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*y*y,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*y*y,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y*y*y,2,0.0,0.0
