system,method,method_label,sparse_factor,obs_dt,noise,seed,n_observed,observed_t_end,base_t_end,cropped_time,pod_rank,upsample,support_f1,coef_error,practical_score,threshold,exact_support,derivative_error,state_error,status,wall_seconds,tv_lambda,tv_cv_mse,tv_grid_edge,tv_grid_lower,tv_grid_upper,tv_cv_folds,tv_cv_spatial_points,tv_final_primal_objective,tv_final_dual_objective,tv_final_primal_dual_gap,tv_final_relative_primal_dual_gap,tv_final_max_relative_gap,tv_final_kkt_stationarity_max,tv_final_kkt_complementarity_gap,tv_final_kkt_subgradient_prox_max,tv_final_masked_dual_stationarity_max,tv_final_dual_box_violation,tv_final_dual_scale_min,tv_final_converged,tv_final_iterations,tv_final_rho,tv_final_tolerance,tv_final_method,tv_final_elapsed_seconds,tv_final_n_observed,tv_final_n_times,tv_final_n_channels,tv_final_objective
lorenz63,baseline,Raw FD,16,0.08,0.5,0,126,10.0,10.0,0.0,0,1,0.6363636363636364,0.9967757277207574,0.3186955988743017,0.1,0,0.6285189478047665,0.27494332866396703,ok,0.011342205999881116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,edmd_poly3,Polynomial EDMD,16,0.08,0.5,0,126,10.0,10.0,0.0,0,5,0.6666666666666666,0.8007565259290087,0.3702147719957499,0.3,0,1.79308398122603,0.25932178588806903,ok,0.03564340900038587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,tv_diff,TV differentiation,16,0.08,0.5,0,126,10.0,10.0,0.0,0,1,0.5333333333333333,1.1143063801074353,0.2522497866682088,1.0,0,0.5406980900891551,0.20911127326907186,ok,0.4047961750002287,0.1,0.42206420771391573,0.0,0.0,0.0,3.0,3.0,"[7.763668977494762, 8.35885579109053, 9.90379215642353]","[7.763655547261152, 8.358839829532181, 9.90375827205801]","[1.3430233609668107e-05, 1.5961558348820404e-05, 3.3884365519654125e-05]","[1.7298823080426948e-06, 1.9095386674613266e-06, 3.421352648003317e-06]",3.421352648003317e-06,2.0590109306439786e-06,"[1.343020371891157e-05, 1.596152756899727e-05, 3.3884293506147856e-05]",1.0419772719372222e-06,0.0,0.0,0.9999948524957907,True,75.0,0.6300000000000001,1e-05,banded ADMM with dual certificate,0.0034070890001203225,126.0,126.0,3.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,baseline,Raw FD,64,0.32,0.05,0,32,9.92,10.0,0.08000000000000007,0,1,0.4,0.9714174998609983,0.20289969021184168,1.0,0,0.9458807903686391,0.025518662994027365,ok,0.010061774999940098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,edmd_poly3,Polynomial EDMD,64,0.32,0.05,0,32,9.92,10.0,0.08000000000000007,0,5,0.6666666666666666,1.0622636553476579,0.32326936710441107,0.3,0,0.74517739839566,0.26836858733745,ok,0.026558275999832404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,tv_diff,TV differentiation,64,0.32,0.05,0,32,9.92,10.0,0.08000000000000007,0,1,0.56,1.0008958484849806,0.279874637365066,0.0003,0,1.0001627611746042,0.49807104839732913,ok,0.10598855399985041,100.0,1.3601854492891836,0.0,0.0,0.0,3.0,3.0,"[15.940542552703235, 15.32913345432618, 15.894193070676382]","[15.940542552703215, 15.32913345432611, 15.894193070676355]","[1.9539925233402755e-14, 7.105427357601002e-14, 2.6645352591003757e-14]","[1.225800512673838e-15, 4.635243980862931e-15, 1.6764205941453219e-15]",4.635243980862931e-15,1.3378187446733136e-14,"[2.138026302921529e-14, 7.496575680107833e-14, 2.4407205674413188e-14]",5.551115123125783e-17,0.0,0.0,1.0,True,0.0,0.0,1e-05,affine exact solution,0.0003325009997752204,32.0,32.0,3.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,baseline,Raw FD,64,0.32,0.05,1,32,9.92,10.0,0.08000000000000007,0,1,0.6153846153846154,1.0296585673629057,0.3031961263239325,0.3,0,0.9451647451273126,0.026245068967260417,ok,0.009689234000234137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,edmd_poly3,Polynomial EDMD,64,0.32,0.05,1,32,9.92,10.0,0.08000000000000007,0,5,0.4,1.2641272926049767,0.17666851210462758,0.3,0,1.6711073486603947,0.8287154944025749,ok,0.02994463300001371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,tv_diff,TV differentiation,64,0.32,0.05,1,32,9.92,10.0,0.08000000000000007,0,1,0.56,1.0008703041346811,0.27987821041813304,0.0003,0,1.0001252663220297,0.4981431623399392,ok,0.09551413600001979,100.0,1.3523769836321116,0.0,0.0,0.0,3.0,3.0,"[15.93865552972203, 15.349595187348292, 15.912706868009817]","[15.938655529722004, 15.349595187348198, 15.912706868009787]","[2.6645352591003757e-14, 9.414691248821327e-14, 3.019806626980426e-14]","[1.6717440527725898e-15, 6.133511101700758e-15, 1.8977328320245173e-15]",6.133511101700758e-15,1.9095836023552692e-14,"[2.6849000199623515e-14, 8.75068569938425e-14, 2.8493219216103246e-14]",5.551115123125783e-17,0.0,0.0,1.0,True,0.0,0.0,1e-05,affine exact solution,0.00035282199996800045,32.0,32.0,3.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,baseline,Raw FD,64,0.32,0.05,2,32,9.92,10.0,0.08000000000000007,0,1,0.6666666666666666,1.0293341021100098,0.3285149872431044,1.0,0,0.9454783509020052,0.023848055199275738,ok,0.01667861499981882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,edmd_poly3,Polynomial EDMD,64,0.32,0.05,2,32,9.92,10.0,0.08000000000000007,0,5,0.375,0.9883664790733689,0.18859702371102124,0.3,0,0.8899921504781239,0.3604110310571491,ok,0.025601573000130884,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,tv_diff,TV differentiation,64,0.32,0.05,2,32,9.92,10.0,0.08000000000000007,0,1,0.5263157894736842,1.0011243744092284,0.2630100338611202,0.001,0,1.0001477619308667,0.4981821642916363,ok,0.08471350199988592,100.0,1.3359631316064209,0.0,0.0,0.0,3.0,3.0,"[15.934289820688964, 15.424831002229434, 15.912960185354294]","[15.934289820688942, 15.42483100222938, 15.912960185354262]","[2.1316282072803006e-14, 5.3290705182007514e-14, 3.197442310920451e-14]","[1.3377616644782061e-15, 3.454864768003301e-15, 2.0093321881514286e-15]",3.454864768003301e-15,1.6431300764452317e-14,"[2.2714320896753743e-14, 4.999721817184636e-14, 2.640912610269602e-14]",5.551115123125783e-17,0.0,0.0,1.0,True,0.0,0.0,1e-05,affine exact solution,0.00023996200025067083,32.0,32.0,3.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,baseline,Raw FD,16,0.08,0.5,4,126,10.0,10.0,0.0,0,1,0.6666666666666666,1.043919562027439,0.32617069627014844,0.1,0,0.59588287164707,0.26151578032208006,ok,0.010533557000144356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,edmd_poly3,Polynomial EDMD,16,0.08,0.5,4,126,10.0,10.0,0.0,0,5,0.7,0.9794124158247423,0.3536402997191153,0.3,0,1.66321419109888,0.23874068700553622,ok,0.03491788400015139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
