system,method,method_label,sparse_factor,obs_dt,noise,seed,n_observed,observed_t_end,base_t_end,cropped_time,pod_rank,upsample,support_f1,coef_error,practical_score,threshold,exact_support,derivative_error,state_error,status,wall_seconds,tv_lambda,tv_cv_mse,tv_grid_edge,tv_grid_lower,tv_grid_upper,tv_cv_folds,tv_cv_spatial_points,tv_final_primal_objective,tv_final_dual_objective,tv_final_primal_dual_gap,tv_final_relative_primal_dual_gap,tv_final_max_relative_gap,tv_final_kkt_stationarity_max,tv_final_kkt_complementarity_gap,tv_final_kkt_subgradient_prox_max,tv_final_masked_dual_stationarity_max,tv_final_dual_box_violation,tv_final_dual_scale_min,tv_final_converged,tv_final_iterations,tv_final_rho,tv_final_tolerance,tv_final_method,tv_final_elapsed_seconds,tv_final_n_observed,tv_final_n_times,tv_final_n_channels,tv_final_objective
lorenz63,tv_diff,TV differentiation,16,0.08,0.2,3,126,10.0,10.0,0.0,0,1,0.5333333333333333,1.2503991837295976,0.23699499057293355,1.0,0,0.3392079580064916,0.10895364357604713,ok,0.22345227400001022,0.0001,0.12085468165701785,0.0,0.0,0.0,3.0,3.0,"[0.0063607774665431745, 0.007351402359016235, 0.008184953653264285]","[0.00636074744757713, 0.007351347913488931, 0.008184900620756266]","[3.001896604470228e-08, 5.4445527304484986e-08, 5.303250801870496e-08]","[3.001896604470228e-08, 5.4445527304484986e-08, 5.303250801870496e-08]",5.4445527304484986e-08,3.5734909350181032e-09,"[3.0018965883372994e-08, 5.444552700697991e-08, 5.303250767522971e-08]",1.7453640266732167e-09,0.0,0.0,0.9999910662771287,True,75.0,0.04,1e-05,banded ADMM with dual certificate,0.0036677519997283525,126.0,126.0,3.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,baseline,Raw FD,16,0.08,0.5,1,126,10.0,10.0,0.0,0,1,0.6153846153846154,1.1399542416989548,0.2875690532971624,1.0,0,0.5900779413949367,0.25460083691894425,ok,0.01949120600011156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,edmd_poly3,Polynomial EDMD,16,0.08,0.5,1,126,10.0,10.0,0.0,0,5,0.6666666666666666,0.9694106190979188,0.3385107504762165,0.3,0,1.629651240325322,0.23801440155031797,ok,0.050230157999976655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,tv_diff,TV differentiation,16,0.08,0.5,1,126,10.0,10.0,0.0,0,1,0.6153846153846154,1.1780883257987351,0.2825342793015271,1.0,0,0.5207031119978278,0.19544003339775912,ok,0.21774633799986987,0.1,0.3413838383405306,0.0,0.0,0.0,3.0,3.0,"[7.507514233968108, 7.6352553518370545, 7.469476824280201]","[7.507513580206797, 7.635255055106031, 7.469475870987298]","[6.537613108648088e-07, 2.9673102375227245e-07, 9.532929023947645e-07]","[8.708092858576737e-08, 3.886327438687149e-08, 1.2762512352886628e-07]",1.2762512352886628e-07,7.764349080341404e-08,"[6.537612362578216e-07, 2.967310130941314e-07, 9.532928277877772e-07]",3.4066693160861306e-08,0.0,0.0,0.9999998058913104,True,100.0,0.6300000000000001,1e-05,banded ADMM with dual certificate,0.004603924000093684,126.0,126.0,3.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,baseline,Raw FD,16,0.08,0.2,4,126,10.0,10.0,0.0,0,1,0.6666666666666666,0.546771858669171,0.43100516920463033,0.3,0,0.33224564620472086,0.10624145928738556,ok,0.009882945999834192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,edmd_poly3,Polynomial EDMD,16,0.08,0.2,4,126,10.0,10.0,0.0,0,5,0.875,0.16865323397657553,0.7487250918928603,0.3,0,0.7485071452538473,0.10391202185248925,ok,0.03188245499995901,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,tv_diff,TV differentiation,16,0.08,0.2,4,126,10.0,10.0,0.0,0,1,0.6666666666666666,0.5467603267487787,0.4310083825772609,0.3,0,0.33223839577275266,0.10617052027743588,ok,0.314338805999796,0.0001,0.11400364883048203,0.0,0.0,0.0,3.0,3.0,"[0.00643933952652459, 0.007029008792750742, 0.007532504665423889]","[0.006439304370813633, 0.007028970538161319, 0.007532458817380477]","[3.5155710956941144e-08, 3.825458942240817e-08, 4.584804341213611e-08]","[3.5155710956941144e-08, 3.825458942240817e-08, 4.584804341213611e-08]",4.584804341213611e-08,3.5804769856991915e-09,"[3.515571076091739e-08, 3.825458922204761e-08, 4.5848043095549074e-08]",1.7639201462996525e-09,0.0,0.0,0.9999910488132963,True,75.0,0.04,1e-05,banded ADMM with dual certificate,0.0036066699999537377,126.0,126.0,3.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,baseline,Raw FD,16,0.08,0.5,2,126,10.0,10.0,0.0,0,1,0.6666666666666666,0.7590794322185879,0.37898610742429784,0.3,0,0.5671694621009805,0.25125175201601185,ok,0.010569831000339036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,edmd_poly3,Polynomial EDMD,16,0.08,0.5,2,126,10.0,10.0,0.0,0,5,0.6666666666666666,1.2050383715779867,0.30233789817887907,1.0,0,1.6434853697464331,0.22301202808104553,ok,0.03505414900018877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,tv_diff,TV differentiation,16,0.08,0.5,2,126,10.0,10.0,0.0,0,1,0.6666666666666666,0.7590794322185879,0.37898610742429784,0.3,0,0.5671694621009805,0.25125175201601185,ok,0.16115827100020397,0.0,0.36553664753243886,1.0,1.0,0.0,3.0,3.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,True,0.0,0.0,1e-05,zero-penalty interpolation,0.0003109790000053181,126.0,126.0,3.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
