system,method,method_label,support_f1_mean,coef_error_median,coef_error_mean,coef_error_max,derivative_error_median,state_error_median,exact_support_count,exact_support_rate,practical_score_mean,n_ok,n_seeds,support_f1_se,coef_error_se,practical_score_se
advection_diffusion,baseline,Raw FD,0.5447222222222222,0.6373360886038294,0.6223750505191394,0.999423028373415,1.0667884488704091,0.149074853838718,0,0.0,0.35483619735609023,40,5,0.017108720973039827,0.003594839702006832,0.009832248118049369
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,0.5802777777777777,0.4766896863959919,0.460795660557131,0.9942041311632616,1.2925173010898146,0.0827713796802608,0,0.0,0.43356143734222286,40,5,0.019955583395179773,0.014484303402969263,0.01495925125625728
advection_diffusion,pod_tv_diff,POD + TV differentiation,0.5986111111111111,0.29784239796654005,0.3670184742953172,0.8658713797682169,0.2247187701378087,0.05926133355124075,0,0.0,0.466658742057252,40,5,0.011343064993941906,0.007114975767415605,0.007234879613277606
advection_diffusion,tv_diff,TV differentiation,0.5713888888888888,0.3717116216514643,0.41232248522588594,0.8963623410204395,0.2906149954915696,0.06275928181941734,0,0.0,0.4317565798297861,40,5,0.011029212053384349,0.014995998317008312,0.009650653709398674
burgers,baseline,Raw FD,0.5719444444444444,0.8217646137933005,0.7747034785474534,1.0342071444655443,1.7132174774782802,0.14866312867385556,0,0.0,0.3333521367108182,40,5,0.004509078633541071,0.004151959938731394,0.0022664454190897353
burgers,pod_edmd_rbf,POD-EDMD-RBF,0.5755555555555556,0.7789822009514269,0.7265457803970656,1.0666251701115428,3.591718829623093,0.12903833765136702,0,0.0,0.349946254594904,40,5,0.015863762183583173,0.010770109777306084,0.009514478896715424
burgers,pod_tv_diff,POD + TV differentiation,0.6233333333333333,0.5718707781908268,0.5845282148670922,0.9837062455867548,0.4158866045877816,0.0650044453653902,0,0.0,0.4096222809395753,40,5,0.004677071733467446,0.004831519201978085,0.0023067858522883224
burgers,tv_diff,TV differentiation,0.628611111111111,0.5849302432797796,0.6007222089597947,0.990449177115127,0.4305234840064997,0.0627348809343737,0,0.0,0.40815464279267133,40,5,0.0059673752941502255,0.00943280254619949,0.004890052134941408
fisher_kpp,baseline,Raw FD,0.7822077922077922,0.046741565376725705,0.11156316596744897,0.8622532879135059,1.0851259734088976,0.0538851420935937,0,0.0,0.7216530426738764,40,5,0.0072877858943367355,0.02338984166851691,0.014403386161689
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,0.7635714285714286,0.05742568972620505,0.23342635175585125,1.3571523434414612,1.9224014476113527,0.037986431200184204,0,0.0,0.6682835498724835,40,5,0.010138985959215993,0.04198841862667932,0.022487313705626275
fisher_kpp,pod_tv_diff,POD + TV differentiation,0.7512121212121212,0.03469505954720435,0.2658258720991077,0.9773258690846685,0.1170304884904647,0.017663137726934598,0,0.0,0.6534080795224628,40,5,0.006949906024957427,0.023118098224861928,0.011251660553923714
fisher_kpp,tv_diff,TV differentiation,0.7475757575757576,0.0463866964068404,0.2991674312642294,0.9767828435500407,0.12282683640827265,0.018341322407897,0,0.0,0.6339416658874784,40,5,0.006165754530113882,0.0325419395181978,0.017280064650580417
lorenz63,baseline,Raw FD,0.6397197901857344,1.0237342274213288,0.9429261871561565,1.3778523197340118,0.7807715778036537,0.0713639664456239,0,0.0,0.3376137023786771,40,5,0.016001976027007054,0.04588271506024907,0.016536724512809936
lorenz63,edmd_poly3,Polynomial EDMD,0.6068516254623934,1.0127198177927634,0.9159574600630183,1.7987661794041925,0.8340147733462846,0.26384518661275946,0,0.0,0.36065612512918876,40,5,0.012938509215225486,0.03211602029253641,0.01343825600769658
lorenz63,tv_diff,TV differentiation,0.5794083225270464,1.0007958721999288,5.116298085782743,95.59008542625038,0.7822292751143021,0.3391397271149629,0,0.0,0.29939301626402826,40,5,0.010410578511424417,2.6242575315564607,0.01929793659708079
vanderpol_mu2,baseline,Raw FD,0.9146031746031745,0.3856742064754509,0.43463204389867605,0.9040088542159564,0.49193578534962873,0.14201837432883305,26,0.65,0.6780868739240848,40,5,0.009737516315051334,0.014452668747520837,0.009535477591228853
vanderpol_mu2,edmd_poly3,Polynomial EDMD,0.8340271627685816,0.0932086557183332,0.42691678785434445,2.851061565976486,1.200091933077778,0.13727681323988974,25,0.625,0.7111085986101677,40,5,0.015461254981096451,0.05269835902822726,0.01492139503126183
vanderpol_mu2,tv_diff,TV differentiation,0.943531746031746,0.33233113854343405,0.3397487513530842,0.9002791177123285,0.3884168802680973,0.10071523654597439,30,0.75,0.7353776751971268,40,5,0.010429857483336054,0.011993523426122159,0.012562469351619672
