method,method_label,support_f1_mean,coef_error_median,practical_score_mean
baseline,Baseline,0.7835944264069263,0.04368214003258105,0.6949323611864681
pydmd_optdmd,optDMD,0.8160127782769292,0.0421854648802385,0.7550060772160055
pod_edmd_rbf,POD-EDMD-RBF,0.8027389971139971,0.043385550418348254,0.724377471686806
