sparse_factor,Baseline,optDMD,POD-EDMD-RBF
4,0.0439937271947129,0.04193105379513455,0.04171383854322895
8,0.043391236699470745,0.0405108539379151,0.0415786039892807
16,0.04388295387753845,0.0409762119353024,0.04281131987259335
32,0.0413218739620867,0.0445903000077261,0.06933418114434226
