setting,system,equation,method,method_label,seed,noise,sparse_factor,threshold,support_size,rss,bic,ebic,true_support_size,support_f1,coef_error,active_terms
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,1,0.01,8,0.01,4,181.51617621713794,-2380.4930212602553,-2375.145913729538,3,0.8571428571428571,0.005033154082559261,0;1;2;7
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,1,0.01,8,0.03,3,181.67855564656404,-2386.5062978394817,-2381.7188060966996,3,1.0,0.003302821280601758,1;2;7
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,1,0.01,8,1.0,2,2961.8355742736894,1092.7291953455556,1096.535857835326,3,0.8,0.33357222866850006,2;7
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,0.0,10,4.7845557291673355,-928.8883419227386,-928.8883419227386,1,0.18181818181818182,0.049044640474058265,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,0.0001,9,4.784559380462294,-934.4056047969422,-932.1030197039481,1,0.2,0.0490837433048038,0;1;2;3;4;6;7;8;9
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,0.001,8,4.784719321421415,-939.91473411959,-936.1080716298196,1,0.2222222222222222,0.04921819196458565,0;1;2;3;6;7;8;9
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,0.003,5,4.7907786587667935,-956.1519603315907,-950.6225312440793,1,0.3333333333333333,0.04545074113563531,1;2;6;7;8
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,0.01,1,4.977916479717758,-968.6804732677896,-966.3778881747955,1,1.0,0.007001149072989987,2
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,1.0,0,520.634447566267,183.66122045652716,183.66122045652716,1,0.0,1.0,
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,2,0.01,8,0.0,10,6.689520497617298,-845.4362351834573,-845.4362351834573,3,0.46153846153846156,0.08450703591793855,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,2,0.01,8,0.03,5,7.028591484281977,-860.7119110918745,-855.1824820043631,3,0.75,0.06818368771966231,1;2;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,2,0.01,8,0.1,3,7.869245267981847,-843.6158351994277,-838.8283434566456,3,1.0,0.02333896853787291,1;2;7
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,2,0.01,8,1.0,2,570.0892496202733,217.2915733595339,221.09823584930425,3,0.8,0.33533636127946503,2;7
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.0,10,195.56916806872448,-2244.5753210186886,-2244.5753210186886,1,0.18181818181818182,0.03843881447852448,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.001,9,195.56965249307785,-2251.7023257626856,-2249.3997406696917,1,0.2,0.03822754777734479,0;1;2;4;5;6;7;8;9
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.003,5,195.61116302612203,-2279.957642100448,-2274.428213012937,1,0.3333333333333333,0.034478317897721884,1;2;6;7;8
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.01,1,195.9175502413476,-2306.5232486785617,-2304.2206635855678,1,1.0,0.002011702160456874,2
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,1.0,0,2800.325193155143,1008.4330073134099,1008.4330073134099,1,0.0,1.0,
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.0,10,190.87808862440164,-2274.9000079826656,-2274.9000079826656,3,0.46153846153846156,0.059366535709277336,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.03,3,193.62039202125084,-2306.9942681366183,-2302.206776393836,3,1.0,0.007247905878088899,1;2;7
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,3,0.01,8,0.0,10,4.461904037056606,-946.2729205770554,-946.2729205770554,1,0.18181818181818182,0.043008156213013286,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,3,0.01,8,0.003,5,4.47219217915769,-973.2867082457109,-967.7572791581995,1,0.3333333333333333,0.03999117425947201,1;2;7;8;9
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,3,0.01,8,0.01,1,4.526110460093053,-992.3724431282627,-990.0698580352687,1,1.0,0.004079941421043731,2
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,3,0.01,8,1.0,0,525.2666602374709,185.86683719828613,185.86683719828613,1,0.0,1.0,
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,0.0,10,6.583809401308825,-849.4024772224174,-849.4024772224174,3,0.46153846153846156,0.12873560687976163,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,0.003,9,6.5840564157721255,-854.9105881948036,-852.6080031018096,3,0.5,0.12867911238594043,0;1;2;3;5;6;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,0.01,7,6.738677428087509,-860.1655450272409,-855.3780532844588,3,0.6,0.12870791266775647,0;1;2;6;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,0.03,6,6.779038873395294,-864.1960559694174,-858.8489484387,3,0.6666666666666666,0.12906847467214377,1;2;6;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,0.1,3,9.59610154029582,-794.2155378456176,-789.4280461028355,3,1.0,0.03895917093127762,1;2;7
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,1.0,2,555.7516570709365,210.94919666968255,214.75585915945288,3,0.8,0.33663983657662633,2;7
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,0.0,10,226.9290842065638,-2058.819736239114,-2058.819736239114,1,0.18181818181818182,0.06928438458321223,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,0.01,1,227.53792932524465,-2119.6440740795824,-2117.3414889865885,1,1.0,0.0011250652682834872,2
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,0.0,10,211.9881868200165,-2143.8853963807114,-2143.8853963807114,3,0.46153846153846156,0.03142337519356107,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,0.01,3,213.73188131932739,-2183.5645428717903,-2178.777051129008,3,1.0,0.008619491786520677,1;2;7
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,1.0,2,2991.620131769251,1105.2265496624655,1109.0332121522358,3,0.8,0.33378782804990065,2;7
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,4,0.01,8,0.0,10,4.482467824806142,-945.1279788750714,-945.1279788750714,1,0.18181818181818182,0.06734232623829657,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,4,0.01,8,0.003,7,4.487838728310897,-961.3821637786365,-956.5946720358544,1,0.25,0.06493036249294618,1;2;4;6;7;8;9
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,4,0.01,8,0.01,5,4.518729010597782,-970.7090470102113,-965.1796179226999,1,0.3333333333333333,0.057196325570418434,1;2;6;7;8
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,4,0.01,8,0.03,1,4.6711379214260775,-984.5190439671883,-982.2164588741942,1,1.0,0.005300830884490293,2
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,4,0.01,8,1.0,0,523.0795433657235,184.8278810036626,184.8278810036626,1,0.0,1.0,
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,4,0.01,8,0.0,10,6.566440440999472,-850.0602401826434,-850.0602401826434,3,0.46153846153846156,0.08582857994564726,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,4,0.01,8,0.03,5,6.721604473247896,-871.8321118902761,-866.3026828027647,3,0.75,0.08215377865776889,1;2;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,4,0.01,8,0.1,3,7.954274805317768,-840.9397481478263,-836.1522564050442,3,1.0,0.027788515949025264,1;2;7
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,4,0.01,8,1.0,2,560.5735154706799,213.1002727862957,216.90693527606604,3,0.8,0.3355601850246554,2;7
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,0.0,10,203.18649425460242,-2196.850868027624,-2196.850868027624,1,0.18181818181818182,0.06468077366772734,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,0.01,1,203.67551406070055,-2258.0193310969953,-2255.7167460040014,1,1.0,0.0002745871983947934,2
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,1.0,0,2822.0778535906893,1018.0976322861139,1018.0976322861139,1,0.0,1.0,
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,0.0,10,220.9660483665392,-2092.0787350890773,-2092.0787350890773,3,0.46153846153846156,0.02949960154264569,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,0.01,3,222.19674043804932,-2135.0522973213174,-2130.2648055785353,3,1.0,0.0019118733487271569,1;2;7
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,1.0,2,3030.576685936563,1121.3859068994195,1125.1925693891899,3,0.8,0.33350172045192145,2;7
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.0,8,66.52038909888905,-8323.98194773219,-8323.98194773219,2,0.4,0.06178675908402113,0;1;2;3;4;5;6;7
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.0003,7,66.52039970113003,-8331.744594171652,-8329.665152629972,2,0.4444444444444444,0.06180743466817283,0;1;3;4;5;6;7
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.005,5,66.70162792130787,-8340.87155933386,-8336.846207643124,2,0.5714285714285714,0.06688600582432376,1;3;4;5;6
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.02,3,67.02172289818246,-8345.137566678604,-8341.112214987868,2,0.8,0.05652135311858862,1;4;6
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.03,2,67.71203235943145,-8328.799395873943,-8325.467191363767,2,1.0,0.04643226209936803,4;6
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.05,1,129.27795810350636,-6815.52188725474,-6813.442445713061,2,0.6666666666666666,0.15752209040509707,4
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.0,8,96.68447847437334,-19660.564024458206,-19660.564024458206,2,0.4,0.02727091151083064,0;1;2;3;4;5;6;7
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.001,5,96.69857918991022,-19685.38644421193,-19681.361092521194,2,0.5714285714285714,0.02903643638958902,1;3;4;5;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.003,4,96.70901495524593,-19693.36406369157,-19689.11556844952,2,0.6666666666666666,0.02837670653104912,3;4;5;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.007,3,96.78739503777444,-19697.830531248423,-19693.805179557687,2,0.8,0.02278154664711798,4;5;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.01,2,96.91849311315433,-19699.57983025513,-19696.247625744956,2,1.0,0.021932595909474113,4;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.05,1,251.76077972163313,-14935.052014717656,-14932.972573175975,2,0.6666666666666666,0.15871442928177798,4
PDE,burgers,u_t,baseline,Baseline,1,0.01,4,0.0,8,64.7806185571146,-8386.314749058789,-8386.314749058789,2,0.4,0.06272829193585114,0;1;2;3;4;5;6;7
PDE,burgers,u_t,baseline,Baseline,1,0.01,4,0.001,7,64.78598956468069,-8393.882772443792,-8391.803330902112,2,0.4444444444444444,0.06421303902567511,0;1;2;3;4;5;6
PDE,burgers,u_t,baseline,Baseline,1,0.01,4,0.005,5,64.82210486706958,-8408.098045178365,-8404.07269348763,2,0.5714285714285714,0.06345186185003973,1;3;4;5;6
PDE,burgers,u_t,baseline,Baseline,1,0.01,4,0.015,3,65.11867709676886,-8412.887826479266,-8408.86247478853,2,0.8,0.05286705721527713,1;4;6
PDE,burgers,u_t,baseline,Baseline,1,0.01,4,0.03,2,65.61329991154452,-8402.85323716434,-8399.521032654164,2,1.0,0.0447751424962534,4;6
PDE,burgers,u_t,baseline,Baseline,1,0.01,4,0.05,1,127.71157097160292,-6844.193780396652,-6842.114338854973,2,0.6666666666666666,0.15761207295277638,4
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.0,8,188.47409643517653,-16323.025521534286,-16323.025521534286,2,0.4,0.03488302159910493,0;1;2;3;4;5;6;7
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.001,7,188.47435613894714,-16331.535825089495,-16329.456383547815,2,0.4444444444444444,0.03480592251375343,0;2;3;4;5;6;7
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.003,5,188.6358280669944,-16344.288387626722,-16340.263035935986,2,0.5714285714285714,0.02561166520601604,0;2;4;5;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.005,3,188.67382387014885,-16360.315754891764,-16356.290403201028,2,0.8,0.024528824481996787,4;5;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.01,2,188.74811827700842,-16366.864477267822,-16363.532272757646,2,1.0,0.024681372017729332,4;6
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.05,1,350.6393296276532,-13278.658042614148,-13276.578601072468,2,0.6666666666666666,0.17104429162799717,4
PDE,burgers,u_t,baseline,Baseline,2,0.01,4,0.0,8,63.82144270847209,-8421.400087626564,-8421.400087626564,2,0.4,0.06273805717193365,0;1;2;3;4;5;6;7
PDE,burgers,u_t,baseline,Baseline,2,0.01,4,0.002,5,63.8841722295153,-8442.378527303752,-8438.353175613016,2,0.5714285714285714,0.06646491703830276,1;3;4;5;6
