setting,system,equation,method,method_label,seed,noise,sparse_factor,threshold,support_size,rss,bic,ebic,true_support_size,support_f1,coef_error,active_terms,delta_ebic_from_best
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,1.0,0,2800.325193155154,1008.4330073134148,1008.4330073134148,1,0.0,1.0,,3312.6536708989815
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.01,1,195.9175502413477,-2306.523248678561,-2304.220663585567,1,1.0,0.0020117021604580954,2,0.0
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.003,5,195.61116302612209,-2279.957642100448,-2274.428213012937,1,0.3333333333333333,0.0344783178977307,1;2;6;7;8,29.79245057263006
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.001,9,195.56965249307794,-2251.7023257626847,-2249.399740669691,1,0.2,0.03822754777731653,0;1;2;4;5;6;7;8;9,54.820922915876054
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.0,10,195.5691680687246,-2244.5753210186876,-2244.5753210186876,1,0.18181818181818182,0.03843881447851817,0;1;2;3;4;5;6;7;8;9,59.64534256687921
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,0.01,1,227.5379293252443,-2119.6440740795842,-2117.3414889865903,1,1.0,0.0011250652682781581,2,0.0
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,0.0,10,226.9290842065623,-2058.819736239122,-2058.819736239122,1,0.18181818181818182,0.06928438458327695,0;1;2;3;4;5;6;7;8;9,58.52175274746833
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,1.0,0,2822.077853590688,1018.0976322861133,1018.0976322861133,1,0.0,1.0,,3273.814378290114
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,0.01,1,203.67551406070066,-2258.0193310969944,-2255.7167460040005,1,1.0,0.00027458719839756895,2,0.0
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,0.0,10,203.186494254602,-2196.850868027627,-2196.850868027627,1,0.18181818181818182,0.06468077366771909,0;1;2;3;4;5;6;7;8;9,58.86587797637367
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,0,0.01,8,1.0,2,566.0571213719069,215.52418814464568,219.330850634416,3,0.8,0.33629750796192076,2;7,1082.3056119451826
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,0,0.01,8,0.1,3,8.669917575341367,-819.4884508476298,-814.7009591048477,3,1.0,0.03313777419724735,1;2;7,48.27380220591897
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,0,0.01,8,0.03,5,6.83561064793275,-867.6442006682058,-862.1147715806944,3,0.75,0.0871026444628585,1;2;7;8;9,0.8599897300722432
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,0,0.01,8,0.01,6,6.667638859711527,-868.3218688414842,-862.9747613107667,3,0.6666666666666666,0.09699139346657897,1;2;6;7;8;9,0.0
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,0,0.01,8,0.0,10,6.634794785617869,-847.4816354344373,-847.4816354344373,3,0.46153846153846156,0.09815010911802076,0;1;2;3;4;5;6;7;8;9,15.493125876329373
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,1,0.01,8,1.0,2,555.0515855683866,210.63533761611964,214.44200010588997,3,0.8,0.3358470797566642,2;7,1106.5334257582867
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,1,0.01,8,0.1,3,7.81774228900475,-845.2508575767024,-840.4633658339203,3,1.0,0.031306458702775826,1;2;7,51.62805981847646
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,1,0.01,8,0.03,5,6.060289908019343,-897.6208547399082,-892.0914256523968,3,0.75,0.09913123175138215,1;2;7;8;9,0.0
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,1,0.01,8,0.01,9,5.7466483319541375,-888.7831154208149,-886.4805303278208,3,0.5,0.10742413249441056,0;1;2;4;5;6;7;8;9,5.610895324575949
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,1,0.01,8,0.0,10,5.739980370501485,-883.5547504075258,-883.5547504075258,3,0.46153846153846156,0.10790635663505516,0;1;2;3;4;5;6;7;8;9,8.536675244870935
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,2,0.01,8,1.0,2,570.089249620273,217.29157335953377,221.0982358493041,3,0.8,0.33533636127946526,2;7,1076.2807178536677
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,2,0.01,8,0.1,3,7.869245267981826,-843.6158351994284,-838.8283434566463,3,1.0,0.023338968537874902,1;2;7,16.354138547717298
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,2,0.01,8,0.03,5,7.028591484281964,-860.711911091875,-855.1824820043636,3,0.75,0.0681836877196364,1;2;7;8;9,0.0
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,2,0.01,8,0.0,10,6.6895204976173055,-845.436235183457,-845.436235183457,3,0.46153846153846156,0.0845070359179011,0;1;2;3;4;5;6;7;8;9,9.74624682090655
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,1.0,2,555.7516570709363,210.94919666968238,214.7558591594527,3,0.8,0.3366398365766264,2;7,1073.6048075981535
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,0.1,3,9.596101540295786,-794.2155378456184,-789.4280461028363,3,1.0,0.03895917093127809,1;2;7,69.4209023358643
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,0.03,6,6.7790388733952724,-864.1960559694181,-858.8489484387006,3,0.6666666666666666,0.12906847467215873,1;2;6;7;8;9,0.0
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,0.01,7,6.7386774280874775,-860.165545027242,-855.37805328446,3,0.6,0.1287079126677576,0;1;2;6;7;8;9,3.4708951542406794
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,0.003,9,6.584056415772092,-854.9105881948049,-852.6080031018108,3,0.5,0.12867911238594662,0;1;2;3;5;6;7;8;9,6.2409453368898085
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,0.0,10,6.583809401308785,-849.4024772224188,-849.4024772224188,3,0.46153846153846156,0.12873560687977056,0;1;2;3;4;5;6;7;8;9,9.446471216281793
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,4,0.01,8,1.0,2,560.5735154706797,213.1002727862956,216.90693527606592,3,0.8,0.3355601850246553,2;7,1083.2096180788312
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,4,0.01,8,0.1,3,7.9542748053177466,-840.939748147827,-836.1522564050449,3,1.0,0.02778851594902534,1;2;7,30.15042639772048
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,4,0.01,8,0.03,5,6.721604473247875,-871.8321118902768,-866.3026828027654,3,0.75,0.08215377865779434,1;2;7;8;9,0.0
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,4,0.01,8,0.0,10,6.5664404409994495,-850.0602401826443,-850.0602401826443,3,0.46153846153846156,0.08582857994567052,0;1;2;3;4;5;6;7;8;9,16.242442620121096
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,1.0,2,3039.9727773725663,1125.2523534695022,1129.0590159592725,3,0.8,0.33367555130438514,2;7,3356.9203723557875
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,0.03,3,205.49536011094753,-2232.648848139297,-2227.861356396515,3,1.0,0.004531361253210085,1;2;7,0.0
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,0.01,4,204.49111426449593,-2231.637515243012,-2226.2904077122944,3,0.8571428571428571,0.0070884998315646494,1;2;7;8,1.5709486842206388
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,0.0,10,204.152409672209,-2190.927394447231,-2190.927394447231,3,0.46153846153846156,0.026474940803216898,0;1;2;3;4;5;6;7;8;9,36.93396194928391
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,1,0.01,8,1.0,2,2961.835574273724,1092.7291953455701,1096.5358578353405,3,0.8,0.33357222866850034,2;7,3478.254663932041
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,1,0.01,8,0.03,3,181.67855564656395,-2386.506297839482,-2381.7188060967,3,1.0,0.0033028212806030504,1;2;7,0.0
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,1,0.01,8,0.01,4,181.51617621713774,-2380.4930212602567,-2375.145913729539,3,0.8571428571428571,0.0050331540825611235,0;1;2;7,6.572892367160875
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,1,0.01,8,0.003,8,180.57297271158376,-2358.479664762849,-2354.673002273079,3,0.5454545454545454,0.019114844839139677,0;1;2;3;4;5;7;8,27.0458038236211
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,1,0.01,8,0.0,10,180.5314872997526,-2344.5064499615573,-2344.5064499615573,3,0.46153846153846156,0.02061137806360978,0;1;2;3;4;5;6;7;8;9,37.21235613514273
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.03,3,193.6203920212511,-2306.9942681366165,-2302.2067763938344,3,1.0,0.007247905878088795,1;2;7,0.0
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.0,10,190.8780886244012,-2274.9000079826687,-2274.9000079826687,3,0.46153846153846156,0.059366535709309526,0;1;2;3;4;5;6;7;8;9,27.30676841116565
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,1.0,2,2991.6201317692835,1105.2265496624789,1109.0332121522492,3,0.8,0.33378782804990054,2;7,3287.810263281241
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,0.01,3,213.73188131933014,-2183.564542871774,-2178.777051128992,3,1.0,0.008619491786518843,1;2;7,0.0
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,0.0,10,211.98818682001533,-2143.8853963807182,-2143.8853963807182,3,0.46153846153846156,0.03142337519355486,0;1;2;3;4;5;6;7;8;9,34.891654748273595
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,1.0,2,3030.5766859366436,1121.3859068994527,1125.192569389223,3,0.8,0.3335017204519213,2;7,3255.4573749677534
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,0.01,3,222.19674043805017,-2135.0522973213124,-2130.2648055785303,3,1.0,0.0019118733487307903,1;2;7,0.0
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,0.0,10,220.9660483665389,-2092.078735089079,-2092.078735089079,3,0.46153846153846156,0.02949960154267452,0;1;2;3;4;5;6;7;8;9,38.18607048945114
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.05,1,129.2779581035072,-6815.521887254726,-6813.442445713046,2,0.6666666666666666,0.15752209040509782,4,1527.6697692747966
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.03,2,67.71203235943214,-8328.799395873919,-8325.467191363743,2,1.0,0.046432262099368814,4;6,15.64502362409985
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.02,3,67.02172289818316,-8345.137566678579,-8341.112214987843,2,0.8,0.05652135311858942,1;4;6,0.0
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.005,5,66.7016279213086,-8340.871559333835,-8336.846207643099,2,0.5714285714285714,0.06688600582432247,1;3;4;5;6,4.266007344744139
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.0003,7,66.52039970113083,-8331.744594171623,-8329.665152629943,2,0.4444444444444444,0.06180743466817278,0;1;3;4;5;6;7,11.447062357899995
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.0,8,66.52038909888984,-8323.981947732163,-8323.981947732163,2,0.4,0.06178675908402132,0;1;2;3;4;5;6;7,17.130267255679428
PDE,burgers,u_t,baseline,Baseline,1,0.01,4,0.05,1,127.71157097160454,-6844.193780396622,-6842.114338854943,2,0.6666666666666666,0.15761207295277785,4,1566.748135933516
PDE,burgers,u_t,baseline,Baseline,1,0.01,4,0.03,2,65.61329991154653,-8402.853237164267,-8399.521032654091,2,1.0,0.04477514249625557,4;6,9.341442134367753
PDE,burgers,u_t,baseline,Baseline,1,0.01,4,0.015,3,65.11867709677085,-8412.887826479195,-8408.862474788459,2,0.8,0.05286705721527911,1;4;6,0.0
PDE,burgers,u_t,baseline,Baseline,1,0.01,4,0.005,5,64.8221048670716,-8408.098045178293,-8404.072693487557,2,0.5714285714285714,0.0634518618500404,1;3;4;5;6,4.7897813009021775
PDE,burgers,u_t,baseline,Baseline,1,0.01,4,0.001,7,64.7859895646827,-8393.88277244372,-8391.80333090204,2,0.4444444444444444,0.06421303902567632,0;1;2;3;4;5;6,17.059143886419406
PDE,burgers,u_t,baseline,Baseline,1,0.01,4,0.0,8,64.78061855711658,-8386.314749058718,-8386.314749058718,2,0.4,0.06272829193584799,0;1;2;3;4;5;6;7,22.547725729740705
PDE,burgers,u_t,baseline,Baseline,2,0.01,4,0.05,1,127.16640072743593,-6854.255398206884,-6852.1759566652045,2,0.6666666666666666,0.1566534031352271,4,1586.8373912596498
PDE,burgers,u_t,baseline,Baseline,2,0.01,4,0.03,2,64.80063774858984,-8432.16614929709,-8428.833944786915,2,1.0,0.04416090626111255,4;6,10.179403137939516
PDE,burgers,u_t,baseline,Baseline,2,0.01,4,0.02,3,64.28923236262082,-8443.03869961559,-8439.013347924854,2,0.8,0.052497931703812846,1;4;6,0.0
PDE,burgers,u_t,baseline,Baseline,2,0.01,4,0.002,5,63.884172229515485,-8442.378527303747,-8438.35317561301,2,0.5714285714285714,0.06646491703830294,1;3;4;5;6,0.6601723118437803
PDE,burgers,u_t,baseline,Baseline,2,0.01,4,0.0,8,63.8214427084723,-8421.400087626555,-8421.400087626555,2,0.4,0.06273805717193448,0;1;2;3;4;5;6;7,17.613260298299792
PDE,burgers,u_t,baseline,Baseline,3,0.01,4,0.05,1,128.3220554306551,-6832.977580485842,-6830.898138944162,2,0.6666666666666666,0.15741959639130254,4,1522.3440113355036
PDE,burgers,u_t,baseline,Baseline,3,0.01,4,0.03,2,67.30857846244186,-8342.855418642215,-8339.52321413204,2,1.0,0.04650065639704534,4;6,13.718936147626664
PDE,burgers,u_t,baseline,Baseline,3,0.01,4,0.013,3,66.6769625222916,-8357.267501970402,-8353.242150279666,2,0.8,0.05596111787357105,1;4;6,0.0
PDE,burgers,u_t,baseline,Baseline,3,0.01,4,0.003,5,66.43008515534832,-8350.466109819854,-8346.440758129118,2,0.5714285714285714,0.06450070588663791,1;3;4;5;6,6.801392150548054
PDE,burgers,u_t,baseline,Baseline,3,0.01,4,0.002,7,66.3100342985352,-8339.19439051223,-8337.11494897055,2,0.4444444444444444,0.06027587967107567,0;1;3;4;5;6;7,16.127201309116572
PDE,burgers,u_t,baseline,Baseline,3,0.01,4,0.0,8,66.30832784566319,-8331.491897430076,-8331.491897430076,2,0.4,0.060601331037590606,0;1;2;3;4;5;6;7,21.750252849589742
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.05,1,130.10924377318165,-6800.446428059166,-6798.366986517486,2,0.6666666666666666,0.15721846181909088,4,1502.1150105531642
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.03,2,68.81557040865493,-8290.776637605159,-8287.444433094983,2,1.0,0.046075457966101734,4;6,13.037563975667581
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.02,3,68.18956462095383,-8304.507348761386,-8300.48199707065,2,0.8,0.05548428638450387,1;4;6,0.0
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.005,5,67.88195474459854,-8299.615414809909,-8295.590063119173,2,0.5714285714285714,0.06544405642765672,1;3;4;5;6,4.8919339514777676
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.003,6,67.86924872156376,-8292.292677866732,-8288.960473356556,2,0.5,0.06555653939499,1;2;3;4;5;6,11.521523714094656
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.002,7,67.85726304875071,-8284.945055173088,-8282.865613631408,2,0.4444444444444444,0.065932022894009,0;1;2;3;4;5;6,17.61638343924278
PDE,burgers,u_t,baseline,Baseline,4,0.01,4,0.0,8,67.8410404247511,-8277.744393316652,-8277.744393316652,2,0.4,0.06389414003456527,0;1;2;3;4;5;6;7,22.737603753997973
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.05,1,253.4293672587043,-14902.022993572426,-14899.943552030745,2,0.6666666666666666,0.1590821007959461,4,4688.611487527411
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.013,2,99.02861663907268,-19591.88724406833,-19588.555039558156,2,1.0,0.02245145404150997,4;6,0.0
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.007,3,98.88620403082804,-19590.565703650245,-19586.54035195951,2,0.8,0.023377681637534856,4;5;6,2.01468759864656
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.003,4,98.81570206916957,-19585.61458455684,-19581.36608931479,2,0.6666666666666666,0.028634273489782085,3;4;5;6,7.18895024336598
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.001,5,98.80488555935224,-19577.64472856131,-19573.619376870574,2,0.5714285714285714,0.0293067681195775,1;3;4;5;6,14.935662687581498
