setting,system,equation,method,method_label,seed,noise,sparse_factor,threshold,support_size,rss,bic,ebic,true_support_size,support_f1,coef_error,active_terms,delta_ebic_from_best,selection_rule
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,4,0.003,2,116.97626466372874,-18759.076330220036,-18755.74412570986,2,1.0,0.01801320556375925,4;6,0.0,elbow_ebic
PDE,fisher_kpp,u_t,baseline,Baseline,0,0.01,4,0.013,5,3.9585765549519776,-14983.730656914644,-14979.705305223908,3,0.5,0.06012762186856796,0;1;2;4;5,0.0,elbow_ebic
PDE,fisher_kpp,u_t,baseline,Baseline,1,0.01,4,0.03,2,3.922423045435499,-15028.599128326608,-15025.266923816433,3,0.8,0.042590065209771925,1;2,2.2696406954601116,elbow_ebic
PDE,fisher_kpp,u_t,baseline,Baseline,2,0.01,4,0.005,3,3.9348332316378283,-15013.406342430357,-15009.38099073962,3,0.6666666666666666,0.058303750677878886,0;1;2,3.439490001179365,elbow_ebic
PDE,fisher_kpp,u_t,baseline,Baseline,3,0.01,4,0.005,3,4.034217098405276,-14954.738630561367,-14950.713278870631,3,0.6666666666666666,0.06389869812043031,0;1;2,0.0,elbow_ebic
PDE,fisher_kpp,u_t,baseline,Baseline,4,0.01,4,0.005,3,4.096452055363491,-14918.73188258399,-14914.706530893254,3,0.6666666666666666,0.05868820750805202,0;1;2,0.0,elbow_ebic
PDE,fisher_kpp,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.015,3,2.258960912083544,-38485.8897067988,-38481.86435510807,3,1.0,0.013095416953025619,1;2;6,2.7618454320181627,elbow_ebic
PDE,fisher_kpp,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.01,3,2.1746987538610223,-38675.96362262623,-38671.9382709355,3,1.0,0.007582996214825981,1;2;6,0.0,elbow_ebic
PDE,fisher_kpp,u_t,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,0.013,3,2.9643465397955975,-37127.131293206985,-37123.10594151625,3,1.0,0.010781552896274884,1;2;6,0.0,elbow_ebic
PDE,fisher_kpp,u_t,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,0.005,3,2.6830155277550674,-37625.70758307345,-37621.682231382714,3,1.0,0.006371795292457901,1;2;6,3.1755833379065734,elbow_ebic
PDE,fisher_kpp,u_t,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,4,0.015,3,2.3147666550975696,-38363.86994988819,-38359.84459819746,3,1.0,0.011721366569060662,1;2;6,0.0,elbow_ebic
