noise,Baseline,POD-EDMD-RBF,Linear interpolation,Tuned smoothing spline
0.0,0.00158758959019475,0.001134053869824,0.00010924310180030209,4.567410813722616e-05
0.01,0.041447515406254354,0.02094058172778965,0.0422367707435224,0.04193014592024545
0.03,0.16779766643105498,0.0462704607847252,0.1178181288732669,0.0466528324693059
0.05,0.3870499138382679,0.0885169690543123,0.2759189257259012,0.059508013763291304
0.1,0.6795771253641035,0.1928685675113742,0.5744361123806703,0.16881694437598738
