system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,pod_rank,rank_mode,rank_cv_error,rank_cv_folds,rank_grid,spline_alpha,spline_cv_error,spline_cv_folds,support_f1,coef_error,practical_score,threshold,status,gp_kernel,gp_cv_error,gp_cv_folds,gp_cv_spatial_points
burgers,linear_interp,Linear interpolation,4,0.02,0.01,2,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.1629364826535763,0.5732614606306559,0.1,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.01,2,5,0,cv,,0,"1,2,3,4,6,8",0.0,0.0154385921422336,4,0.6666666666666666,0.1662727193059693,0.5716215904144526,0.1,ok,,,,
burgers,baseline,Baseline,4,0.02,0.01,3,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.1641161340862917,0.5726805489126989,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.01,3,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.1601279116143786,0.5746492778877849,0.1,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.01,3,5,0,cv,,0,"1,2,3,4,6,8",0.001,0.0114713020764535,4,1.0,0.0401701080078979,0.96138121284332,0.03,ok,,,,
burgers,baseline,Baseline,4,0.02,0.01,4,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.1661739325406206,0.5716700125634518,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.01,4,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.1609637425434718,0.5742355615741407,0.1,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.01,4,5,0,cv,,0,"1,2,3,4,6,8",0.001,0.0109738841607458,4,1.0,0.0415382786273565,0.9601183370023616,0.03,ok,,,,
burgers,baseline,Baseline,4,0.02,0.01,5,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.1688897375503642,0.5703417912315633,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.01,5,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.1637381892747143,0.5728665371737595,0.1,ok,,,,
