system,method,method_label,sparse_factor,noise,support_f1_mean,support_f1_std,coef_error_median,coef_error_mean,practical_score_mean,n_ok
fisher_kpp,smoothing_spline_cv,Tuned smoothing spline,4,0.01,0.9821428571428572,0.05050762722761056,0.0215063739780452,0.02170284305021075,0.9612825181747734,8
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.03,0.8071428571428572,0.020203050891044183,0.0408645922962044,0.03889443096173693,0.7770025142118633,8
fisher_kpp,linear_interp,Linear interpolation,4,0.05,0.8,0.0,0.0402183498031074,0.042691490414171,0.7674672957174978,8
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0.8,0.0,0.03402952675046355,0.0376555352336455,0.7711130324619102,8
fisher_kpp,smoothing_spline_cv,Tuned smoothing spline,8,0.0,1.0,0.0,1.6637844888148776e-05,1.6637844888148776e-05,0.999983362431925,8
fisher_kpp,smoothing_spline_cv,Tuned smoothing spline,8,0.01,0.925,0.10350983390135313,0.02804801928097875,0.035142080862250236,0.8946446876269517,8
fisher_kpp,baseline,Baseline,8,0.03,0.8,0.0,0.04152877303370925,0.0412894967577461,0.7682842228173505,8
fisher_kpp,linear_interp,Linear interpolation,8,0.05,0.8,0.0,0.0403867123646143,0.039156666065650984,0.7699696296663644,8
fisher_kpp,linear_interp,Linear interpolation,8,0.1,0.8,0.0,0.0309494612289241,0.03980023692456937,0.769612841948467,8
fisher_kpp,smoothing_spline_cv,Tuned smoothing spline,16,0.0,1.0,0.0,9.780043629319453e-06,9.780043629319453e-06,0.9999902200520188,8
fisher_kpp,smoothing_spline_cv,Tuned smoothing spline,16,0.01,0.8321428571428572,0.07071067811865472,0.04635343993217965,0.04357411706321236,0.7977424833968386,8
fisher_kpp,baseline,Baseline,16,0.03,0.8,0.0,0.04117683769428765,0.03810394206896634,0.770652313940221,8
fisher_kpp,linear_interp,Linear interpolation,16,0.05,0.8,0.0,0.0389820971219259,0.04069650592523118,0.7687520128915725,8
fisher_kpp,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0.8,0.0,0.02836529375632145,0.03137383172759435,0.7757091761251527,8
fisher_kpp,smoothing_spline_cv,Tuned smoothing spline,32,0.0,1.0,0.0,5.908855247708631e-05,5.908855247708631e-05,0.9999409149387736,8
fisher_kpp,baseline,Baseline,32,0.01,0.8,0.0,0.03814598648044175,0.03807159933647512,0.7706609941779085,8
fisher_kpp,baseline,Baseline,32,0.03,0.8,0.0,0.0403977270879793,0.04108557609104248,0.7684376651116815,8
fisher_kpp,baseline,Baseline,32,0.05,0.8,0.0,0.03379020997025055,0.033756592656414425,0.7739128520147632,8
fisher_kpp,baseline,Baseline,32,0.1,0.8,0.0,0.031126914499131547,0.03596995958513235,0.7723926632648108,8
