sparse_factor,Baseline,POD-EDMD-RBF,Linear interpolation,Tuned smoothing spline
4,0.05076562193765965,0.029400426319089852,0.07220596309098459,0.0412899634439378
8,0.04573792384979365,0.03619054627536905,0.04894189054200285,0.04339800887092115
16,0.0480544130191326,0.042450103379824494,0.0474718291815394,0.04375667642785075
32,0.04573630905421245,0.10183535760601635,0.04936602447259575,0.046630582904508944
