method,method_label,support_f1_mean,coef_error_median,practical_score_mean
baseline,Baseline,0.754062950937951,0.0468857262460147,0.6608174070916576
pod_edmd_rbf,POD-EDMD-RBF,0.774684644059644,0.0421801065791644,0.7125159119138242
linear_interp,Linear interpolation,0.7574636243386244,0.0509978661714231,0.6749876922646131
smoothing_spline_cv,Tuned smoothing spline,0.7770205026455026,0.0445644441522439,0.7264187703661544
