system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,pod_rank,rank_mode,rank_cv_error,rank_cv_folds,rank_grid,spline_alpha,spline_cv_error,spline_cv_folds,gp_kernel,gp_cv_error,gp_cv_folds,gp_cv_spatial_points,support_f1,coef_error,practical_score,threshold,status
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,1,5,8,system,,0,,,,0,,,0,0,0.6666666666666666,0.4237355312480938,0.46825175886580883,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,2,5,8,system,,0,,,,0,,,0,0,0.6666666666666666,0.6099443906037036,0.414092977718738,0.3,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,3,5,8,system,,0,,,,0,,,0,0,0.6666666666666666,0.5912371376736084,0.4189612288972431,0.3,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,4,5,8,system,,0,,,,0,,,0,0,0.6666666666666666,0.344162474283419,0.49597178869471903,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,5,5,8,system,,0,,,,0,,,0,0,0.6666666666666666,0.42443525133097043,0.46802174127868823,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,6,5,8,system,,0,,,,0,,,0,0,0.6666666666666666,0.4230338330355512,0.468482653883614,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,7,5,8,system,,0,,,,0,,,0,0,0.6666666666666666,0.6741537844097912,0.3982111278395457,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,0,5,8,system,,0,,,,0,,,0,0,1.0,0.002181512111869031,0.9978232365240184,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,1,5,8,system,,0,,,,0,,,0,0,1.0,0.002181441191654087,0.9978233071358215,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,2,5,8,system,,0,,,,0,,,0,0,1.0,0.002181483119050207,0.9978232653907544,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,3,5,8,system,,0,,,,0,,,0,0,1.0,0.002181458161704815,0.9978232902395677,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,4,5,8,system,,0,,,,0,,,0,0,1.0,0.0021814782305944027,0.9978232702579517,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,5,5,8,system,,0,,,,0,,,0,0,1.0,0.002181471813337275,0.9978232766473021,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,6,5,8,system,,0,,,,0,,,0,0,1.0,0.002181079112112254,0.9978236676409372,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,7,5,8,system,,0,,,,0,,,0,0,1.0,0.002181542084099899,0.9978232066821315,0.003,ok
