setting,system,equation,method,method_label,seed,noise,sparse_factor,threshold,support_size,rss,bic,ebic,true_support_size,support_f1,coef_error,active_terms,delta_ebic_from_best,selection_rule
PDE,burgers,u_t,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,4,0.007,2,160.28098445711322,-17184.28943141161,-17180.957226901435,2,1.0,0.017573014091567113,4;6,0.0,elbow_ebic
PDE,fisher_kpp,u_t,baseline,Baseline,0,0.01,4,0.013,5,3.9585765705599147,-14983.730647641143,-14979.705295950407,3,0.5,0.06012762176323992,0;1;2;4;5,0.0,elbow_ebic
PDE,fisher_kpp,u_t,baseline,Baseline,1,0.01,4,0.03,2,3.9224230590716895,-15028.59912014995,-15025.266915639773,3,0.8,0.042590065210268556,1;2,2.2696405928691092,elbow_ebic
PDE,fisher_kpp,u_t,baseline,Baseline,2,0.01,4,0.005,3,3.9348332299915345,-15013.40634341441,-15009.380991723674,3,0.6666666666666666,0.0583037506779725,0;1;2,3.4394899180715583,elbow_ebic
PDE,fisher_kpp,u_t,baseline,Baseline,3,0.01,4,0.005,3,4.034217068763442,-14954.738647842936,-14950.7132961522,3,0.6666666666666666,0.06389869812070863,0;1;2,0.0,elbow_ebic
PDE,fisher_kpp,u_t,baseline,Baseline,4,0.01,4,0.005,3,4.096452075971374,-14918.731870751863,-14914.706519061127,3,0.6666666666666666,0.0586882075093419,0;1;2,0.0,elbow_ebic
PDE,fisher_kpp,u_t,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,0.015,3,2.189490724366639,-38642.06952333644,-38638.044171645706,3,1.0,0.012659202131913693,1;2;6,2.398805990043911,elbow_ebic
PDE,fisher_kpp,u_t,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,0.007,3,2.0317457192577835,-39015.937458880624,-39011.91210718989,3,1.0,0.007502252285897277,1;2;6,0.0,elbow_ebic
PDE,fisher_kpp,u_t,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,0.01,3,2.8075875789916136,-37398.78636851644,-37394.76101682571,3,1.0,0.010500999299339448,1;2;6,0.0,elbow_ebic
PDE,fisher_kpp,u_t,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,0.007,3,2.4819092544993984,-38015.27375414993,-38011.2484024592,3,1.0,0.00693119068435189,1;2;6,0.0,elbow_ebic
PDE,fisher_kpp,u_t,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,4,0.013,3,2.1122491134516452,-38821.64782584095,-38817.622474150216,3,1.0,0.011044280290748642,1;2;6,0.0,elbow_ebic
