setting,system,method,strategy,seed,sparse_factor,noise,support_f1,coef_error,practical_score,threshold,status
ODE,lorenz63,edmd_rbf,two_sided,4,64,0.1,0.631578947368421,1.0703031206018612,0.3050659302415647,0.3,ok
ODE,lorenz63,edmd_poly3,baseline,5,64,0.1,0.6666666666666666,1.0303526020430545,0.32835019197937804,1.0,ok
ODE,lorenz63,edmd_poly3,local_reset,5,64,0.1,0.47058823529411764,1.051766146482206,0.22935763712689705,0.3,ok
ODE,lorenz63,edmd_poly3,global_rollout,5,64,0.1,0.25,3.339645355959399,0.05760839411835546,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,5,64,0.1,0.4,1.0376985956247466,0.19629988500696902,1.0,ok
ODE,lorenz63,edmd_poly3,two_sided,5,64,0.1,0.5555555555555556,1.5791586907097401,0.21540185082705254,0.3,ok
ODE,lorenz63,edmd_rbf,baseline,5,64,0.1,0.6666666666666666,1.0303526020430545,0.32835019197937804,1.0,ok
ODE,lorenz63,edmd_rbf,local_reset,5,64,0.1,0.4166666666666667,1.555781399675284,0.1630290707646612,0.1,ok
ODE,lorenz63,edmd_rbf,global_rollout,5,64,0.1,0.3888888888888889,2.9005019895827475,0.09970226651018577,0.03,ok
ODE,lorenz63,edmd_rbf,residual_corrected,5,64,0.1,0.4117647058823529,1.475408033036096,0.16634215466180022,0.03,ok
ODE,lorenz63,edmd_rbf,two_sided,5,64,0.1,0.35294117647058826,1.1307201444505666,0.16564407925171173,0.03,ok
ODE,lorenz63,edmd_poly3,baseline,6,64,0.1,0.7058823529411765,1.064616103094687,0.3418952084521272,0.3,ok
ODE,lorenz63,edmd_poly3,local_reset,6,64,0.1,0.47058823529411764,1.418107260325047,0.19461015771106044,0.3,ok
ODE,lorenz63,edmd_poly3,global_rollout,6,64,0.1,0.5,2.8517509858306953,0.12981109158908063,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,6,64,0.1,0.47619047619047616,1.8785419255738842,0.16542766737557238,0.3,ok
ODE,lorenz63,edmd_poly3,two_sided,6,64,0.1,0.5333333333333333,1.5470414748777062,0.20939326610648962,0.3,ok
