setting,system,method,strategy,seed,sparse_factor,noise,support_f1_archived,coef_error_archived,practical_score_archived,threshold_archived,status_archived,support_f1_reexecuted,coef_error_reexecuted,practical_score_reexecuted,threshold_reexecuted,status_reexecuted,coefficient_error_drift
ODE,lorenz63,edmd_poly3,baseline,0,64,0.1,0.4,0.9679043036195144,0.2032619163768739,1.0,ok,0.4,0.9679043036198316,0.2032619163768411,1.0,ok,3.171907181354072e-13
ODE,lorenz63,edmd_rbf,baseline,0,64,0.1,0.4,0.9679043036195144,0.2032619163768739,1.0,ok,0.4,0.9679043036198316,0.2032619163768411,1.0,ok,3.171907181354072e-13
ODE,lorenz63,edmd_poly3,baseline,1,64,0.1,0.7058823529411765,1.0482119706022546,0.344633447647325,0.3,ok,0.7058823529411765,1.0482119706025883,0.3446334476472688,0.3,ok,3.3373304120232206e-13
ODE,lorenz63,edmd_rbf,baseline,1,64,0.1,0.7058823529411765,1.0482119706022546,0.344633447647325,0.3,ok,0.7058823529411765,1.0482119706025883,0.3446334476472688,0.3,ok,3.3373304120232206e-13
ODE,lorenz63,edmd_poly3,baseline,2,64,0.1,0.6666666666666666,1.027932371429655,0.3287420606618547,1.0,ok,0.6666666666666666,1.0279323714299915,0.3287420606618002,1.0,ok,3.3639757646142243e-13
ODE,lorenz63,edmd_rbf,baseline,2,64,0.1,0.6666666666666666,1.027932371429655,0.3287420606618547,1.0,ok,0.6666666666666666,1.0279323714299915,0.3287420606618002,1.0,ok,3.3639757646142243e-13
ODE,lorenz63,edmd_poly3,baseline,3,64,0.1,0.6666666666666666,1.0260399188528306,0.3290491270498469,1.0,ok,0.6666666666666666,1.0260399188531888,0.3290491270497887,1.0,ok,3.581579477440755e-13
ODE,lorenz63,edmd_rbf,baseline,3,64,0.1,0.6666666666666666,1.0260399188528306,0.3290491270498469,1.0,ok,0.6666666666666666,1.0260399188531888,0.3290491270497887,1.0,ok,3.581579477440755e-13
ODE,lorenz63,edmd_poly3,baseline,4,64,0.1,0.5333333333333333,1.0381695090752028,0.2616727072790562,0.3,ok,0.5333333333333333,1.0381695090754222,0.2616727072790281,0.3,ok,2.1938006966593093e-13
ODE,lorenz63,edmd_rbf,baseline,4,64,0.1,0.5333333333333333,1.0381695090752028,0.2616727072790562,0.3,ok,0.5333333333333333,1.0381695090754222,0.2616727072790281,0.3,ok,2.1938006966593093e-13
ODE,lorenz63,edmd_poly3,baseline,5,64,0.1,0.6666666666666666,1.0303526020430545,0.328350191979378,1.0,ok,0.6666666666666666,1.0303526020432632,0.3283501919793443,1.0,ok,2.0872192862952943e-13
ODE,lorenz63,edmd_rbf,baseline,5,64,0.1,0.6666666666666666,1.0303526020430545,0.328350191979378,1.0,ok,0.6666666666666666,1.0303526020432632,0.3283501919793443,1.0,ok,2.0872192862952943e-13
ODE,lorenz63,edmd_poly3,baseline,6,64,0.1,0.7058823529411765,1.064616103094687,0.3418952084521272,0.3,ok,0.7058823529411765,1.0646161030934618,0.34189520845233,0.3,ok,-1.2252421299763228e-12
ODE,lorenz63,edmd_rbf,baseline,6,64,0.1,0.7058823529411765,1.064616103094687,0.3418952084521272,0.3,ok,0.7058823529411765,1.0646161030934618,0.34189520845233,0.3,ok,-1.2252421299763228e-12
ODE,lorenz63,edmd_poly3,baseline,7,64,0.1,0.5454545454545454,1.0506349877696946,0.2659929966608982,1.0,ok,0.5454545454545454,1.050634987769901,0.2659929966608714,1.0,ok,2.0650148258027912e-13
ODE,lorenz63,edmd_rbf,baseline,7,64,0.1,0.5454545454545454,1.0506349877696946,0.2659929966608982,1.0,ok,0.5454545454545454,1.050634987769901,0.2659929966608714,1.0,ok,2.0650148258027912e-13
ODE,lorenz63,edmd_poly3,baseline,8,64,0.1,0.6153846153846154,1.0249373710849694,0.3039030362973102,0.3,ok,0.6153846153846154,1.0249373710853225,0.3039030362972572,0.3,ok,3.530509218307998e-13
ODE,lorenz63,edmd_rbf,baseline,8,64,0.1,0.6153846153846154,1.0249373710849694,0.3039030362973102,0.3,ok,0.6153846153846154,1.0249373710853225,0.3039030362972572,0.3,ok,3.530509218307998e-13
ODE,lorenz63,edmd_poly3,baseline,9,64,0.1,0.6666666666666666,1.0287223422888214,0.32861405071062,1.0,ok,0.6666666666666666,1.0287223422890253,0.328614050710587,1.0,ok,2.0383694732117874e-13
ODE,lorenz63,edmd_rbf,baseline,9,64,0.1,0.6666666666666666,1.0287223422888214,0.32861405071062,1.0,ok,0.6666666666666666,1.0287223422890253,0.328614050710587,1.0,ok,2.0383694732117874e-13
ODE,lorenz63,edmd_poly3,baseline,10,64,0.1,0.6666666666666666,1.0272831623817085,0.328847335703932,1.0,ok,0.6666666666666666,1.0272831623819572,0.3288473357038916,1.0,ok,2.4868995751603507e-13
ODE,lorenz63,edmd_rbf,baseline,10,64,0.1,0.6666666666666666,1.0272831623817085,0.328847335703932,1.0,ok,0.6666666666666666,1.0272831623819572,0.3288473357038916,1.0,ok,2.4868995751603507e-13
ODE,lorenz63,edmd_poly3,baseline,11,64,0.1,0.4444444444444444,1.05568148692317,0.2162029707771821,1.0,ok,0.4444444444444444,1.055681486923714,0.2162029707771249,1.0,ok,5.440092820663267e-13
ODE,lorenz63,edmd_rbf,baseline,11,64,0.1,0.4444444444444444,1.05568148692317,0.2162029707771821,1.0,ok,0.4444444444444444,1.055681486923714,0.2162029707771249,1.0,ok,5.440092820663267e-13
ODE,lorenz63,edmd_poly3,baseline,12,64,0.1,0.6666666666666666,1.0313928070173424,0.3281820553679725,1.0,ok,0.6666666666666666,1.031392807017807,0.3281820553678975,1.0,ok,4.645173135031655e-13
ODE,lorenz63,edmd_rbf,baseline,12,64,0.1,0.6666666666666666,1.0313928070173424,0.3281820553679725,1.0,ok,0.6666666666666666,1.031392807017807,0.3281820553678975,1.0,ok,4.645173135031655e-13
ODE,lorenz63,edmd_poly3,baseline,13,64,0.1,0.6666666666666666,1.0268617937249156,0.3289157004836938,1.0,ok,0.6666666666666666,1.0268617937252882,0.3289157004836333,1.0,ok,3.7259084706420253e-13
ODE,lorenz63,edmd_rbf,baseline,13,64,0.1,0.6666666666666666,1.0268617937249156,0.3289157004836938,1.0,ok,0.6666666666666666,1.0268617937252882,0.3289157004836333,1.0,ok,3.7259084706420253e-13
ODE,lorenz63,edmd_poly3,baseline,14,64,0.1,0.6153846153846154,1.030016317985348,0.3031426939441267,0.3,ok,0.6153846153846154,1.0300163179857411,0.303142693944068,0.3,ok,3.930189507173054e-13
ODE,lorenz63,edmd_rbf,baseline,14,64,0.1,0.6153846153846154,1.030016317985348,0.3031426939441267,0.3,ok,0.6153846153846154,1.0300163179857411,0.303142693944068,0.3,ok,3.930189507173054e-13
ODE,lorenz63,edmd_poly3,baseline,15,64,0.1,0.7272727272727273,1.022324052830262,0.3596222505759658,1.0,ok,0.7272727272727273,1.0223240528305462,0.3596222505759153,1.0,ok,2.8421709430404007e-13
ODE,lorenz63,edmd_rbf,baseline,15,64,0.1,0.7272727272727273,1.022324052830262,0.3596222505759658,1.0,ok,0.7272727272727273,1.0223240528305462,0.3596222505759153,1.0,ok,2.8421709430404007e-13
ODE,lorenz63,edmd_poly3,baseline,16,64,0.1,0.6666666666666666,1.0243447565988724,0.3293246688803847,1.0,ok,0.6666666666666666,1.02434475659915,0.3293246688803396,1.0,ok,2.7755575615628914e-13
ODE,lorenz63,edmd_rbf,baseline,16,64,0.1,0.6666666666666666,1.0243447565988724,0.3293246688803847,1.0,ok,0.6666666666666666,1.02434475659915,0.3293246688803396,1.0,ok,2.7755575615628914e-13
ODE,lorenz63,edmd_poly3,baseline,17,64,0.1,0.6666666666666666,1.022606041168625,0.3296077699251203,0.3,ok,0.6666666666666666,1.0226060411689586,0.3296077699250659,0.3,ok,3.33510996597397e-13
ODE,lorenz63,edmd_rbf,baseline,17,64,0.1,0.6666666666666666,1.022606041168625,0.3296077699251203,0.3,ok,0.6666666666666666,1.0226060411689586,0.3296077699250659,0.3,ok,3.33510996597397e-13
