setting,system,method,strategy,seed,sparse_factor,noise,support_f1,coef_error,practical_score,threshold,status
ODE,lorenz63,edmd_poly3,residual_corrected,4,64,0.1,0.5333333333333333,1.0606966844813572,0.258812147051891,1.0,ok
ODE,lorenz63,edmd_poly3,two_sided,4,64,0.1,0.4,1.60223301494881,0.1537141361677284,0.3,ok
ODE,lorenz63,edmd_rbf,baseline,4,64,0.1,0.5333333333333333,1.0381695090754222,0.2616727072790281,0.3,ok
ODE,lorenz63,edmd_rbf,local_reset,4,64,0.1,0.5714285714285714,1.059249936482162,0.2774935481628562,1.0,ok
ODE,lorenz63,edmd_rbf,global_rollout,4,64,0.1,0.5714285714285714,1.2808981097786345,0.2505278815299775,1.0,ok
ODE,lorenz63,edmd_rbf,residual_corrected,4,64,0.1,0.5555555555555556,2.088076150920111,0.1799034506937351,0.3,ok
ODE,lorenz63,edmd_rbf,two_sided,4,64,0.1,0.631578947368421,1.0703034570043295,0.3050658806715697,0.3,ok
ODE,lorenz63,edmd_poly3,baseline,5,64,0.1,0.6666666666666666,1.0303526020432632,0.3283501919793443,1.0,ok
ODE,lorenz63,edmd_poly3,local_reset,5,64,0.1,0.4705882352941176,1.0462813768238484,0.229972398040657,0.3,ok
ODE,lorenz63,edmd_poly3,global_rollout,5,64,0.1,0.4444444444444444,4.310940324067679,0.0836846993799474,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,5,64,0.1,0.4444444444444444,1.034638254091107,0.2184390485880165,1.0,ok
ODE,lorenz63,edmd_poly3,two_sided,5,64,0.1,0.5555555555555556,1.5791586908504625,0.2154018508152999,0.3,ok
ODE,lorenz63,edmd_rbf,baseline,5,64,0.1,0.6666666666666666,1.0303526020432632,0.3283501919793443,1.0,ok
ODE,lorenz63,edmd_rbf,local_reset,5,64,0.1,0.4166666666666667,1.5557781263543398,0.1630292795646608,0.1,ok
ODE,lorenz63,edmd_rbf,global_rollout,5,64,0.1,0.3888888888888889,2.900497635671795,0.0997023778023414,0.03,ok
